Time,Stellar mass,Stellar radius,Planet 1 mass,Planet 1 radius,Planet 1 semi maj,Planet 1 ecc,Planet 1 inclination,Planet 1 Omega,Planet 1 omega,Planet 2 mass,Planet 2 radius,Planet 2 semi maj,Planet 2 ecc,Planet 2 inclination,Planet 2 Omega,Planet 2 omega,Planet 3 mass,Planet 3 radius,Planet 3 semi maj,Planet 3 ecc,Planet 3 inclination,Planet 3 Omega,Planet 3 omega,N pairs:1-2,N pairs:2-3,1 Planets,2 Planets,3 Planets
0.0,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12150151534753438,0.07833403108977341,0.675003327034084,0.0,3.319540106652841,9.204855541302611e-06,0.019894142617148895,0.16913229558996218,0.037890544639167585,0.653299510327628,0.0,1.981304774309402,4.689041171803971e-06,0.010218722090186663,0.3701802676295749,0.038083444752064106,0.6748742332610141,0.0,6.050116268064858,0.03468728117991374,0.016261515312758986,0.01690668536346673,0.018640458101219993,0.016261515312758986
100.01000100010002,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12149503498887515,0.07298022381642312,0.6743445651537195,-0.005847913403833895,3.4783200121798425,9.204855541302611e-06,0.019894142617148895,0.1691347481500038,0.04123123635435468,0.6535205973383451,0.0021710624075878646,2.0260510332921626,4.689041171803971e-06,0.010218722090186663,0.3701802506824874,0.038181177339869074,0.6748726366744595,-0.0002294216875025403,6.0610006482950185,0.034762135393716725,0.016282349094428432,0.016748323284237164,0.018673768491322774,0.016282349094428432
200.02000200020004,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12149042168981936,0.06714596034374194,0.6728534637599122,-0.011540726844406551,3.647992011350806,9.204855541302611e-06,0.019894142617148895,0.16913864635604214,0.044490732873846785,0.6540299172234841,0.004279670116528921,2.08124551218393,4.689041171803971e-06,0.010218722090186663,0.3701804413120708,0.03828412178591575,0.6748654068235063,-0.0004570011104143871,6.072087055574647,0.03480970077108365,0.016323880021056534,0.016664393484855034,0.018638393417393744,0.016323880021056534
300.03000300030004,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12149230684574373,0.06073925317769857,0.6706653599919427,-0.016722576900030792,3.8219861039861307,9.204855541302611e-06,0.019894142617148895,0.16913737895790282,0.04737318830233828,0.6547807340031011,0.006197187584313227,2.1457946156855634,4.689041171803971e-06,0.010218722090186663,0.3701808878368327,0.03839092300437705,0.674852712672885,-0.000680961994898476,6.083423705533964,0.03479940717491054,0.0163727005528631,0.016701339199414775,0.018530574007619555,0.0163727005528631
400.0400040004001,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12148495209635411,0.05389290364195206,0.667909272242539,-0.02103344677270419,4.014374428213026,9.204855541302611e-06,0.019894142617148895,0.1691421306207367,0.05005068043688272,0.6557271064507095,0.0077971215206106385,2.216573218427195,4.689041171803971e-06,0.010218722090186663,0.37018116757944747,0.03849833141968812,0.6748349216281427,-0.0008997857696552707,6.095075043744548,0.03473538639464266,0.016424546289358067,0.016852967052452695,0.01836298557764758,0.016424546289358067
500.0500050005001,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.1214928523337154,0.04657597677139813,0.6647171884731056,-0.024100252249297592,4.227393991899104,9.204855541302611e-06,0.019894142617148895,0.16913676191198812,0.05226324833785463,0.6568198955748574,0.008955383695748456,2.2945420761454702,4.689041171803971e-06,0.010218722090186663,0.3701815013200185,0.03860268632210814,0.6748126495089108,-0.0011123336036182475,6.107001086649944,0.03466443755498201,0.016469695777481235,0.01700892823973448,0.01820185567405816,0.016469695777481235
600.0600060006001,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12148856392909835,0.03977177674565029,0.6612057819979886,-0.02570024635346645,4.470368796950819,9.204855541302611e-06,0.019894142617148895,0.16913931583887432,0.05407109008171419,0.6580163173486565,0.009600974260227452,2.373324776196249,4.689041171803971e-06,0.010218722090186663,0.3701815358431459,0.03870182410366031,0.6747867891192022,-0.0013178350692378406,6.119192301228077,0.034638571528331524,0.016476934601757476,0.01704639959003024,0.018161636926574052,0.016476934601757476
700.0700070007001,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12149237121477467,0.03328864925850779,0.6574983665764291,-0.025739420518305516,4.761526082429727,9.204855541302611e-06,0.019894142617148895,0.16913666231186728,0.05542144351362915,0.6592720505272059,0.00971268757478629,2.455861968560555,4.689041171803971e-06,0.010218722090186663,0.37018130162998875,0.03879306301526018,0.6747584244069821,-0.0015157955007794072,6.13157895516965,0.034668074176620406,0.016477061703326024,0.01696793518685638,0.018191012473294386,0.016477061703326024
800.0800080008001,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12149848875763877,0.027945014749221665,0.6537807184375453,-0.02425133668718852,5.1237965834456976,9.204855541302611e-06,0.019894142617148895,0.16913245970309346,0.05629484644060074,0.6605243911790069,0.009313186603410576,2.539367641039572,4.689041171803971e-06,0.010218722090186663,0.37018102953231835,0.03887610283604481,0.6747287346569155,-0.0017060734598124611,6.1441307590784255,0.034716761457597334,0.016477180246562025,0.016856033826116012,0.018239581211035312,0.016477180246562025
900.0900090009002,0.912,1.31,3.6113616751472735e-06,0.009675639475893385,0.12149066538742596,0.025022827165141946,0.6502482181559658,-0.021380224809659332,5.575288484521384,9.204855541302611e-06,0.019894142617148895,0.16913797006854123,0.05681091902377525,0.6617089865918819,0.008461150541289684,2.6243107950266733,4.689041171803971e-06,0.010218722090186663,0.37018049559637206,0.038949015465924615,0.6746988565407237,-0.0018888857194809575,6.1567685752771775,0.034736527818980234,0.01647729765355789,0.01681289983379149,0.018259230165422344,0.01647729765355789
