Time,Stellar mass,Stellar radius,Planet 1 mass,Planet 1 radius,Planet 1 semi maj,Planet 1 ecc,Planet 1 inclination,Planet 1 Omega,Planet 1 omega,Planet 2 mass,Planet 2 radius,Planet 2 semi maj,Planet 2 ecc,Planet 2 inclination,Planet 2 Omega,Planet 2 omega,Planet 3 mass,Planet 3 radius,Planet 3 semi maj,Planet 3 ecc,Planet 3 inclination,Planet 3 Omega,Planet 3 omega,Planet 4 mass,Planet 4 radius,Planet 4 semi maj,Planet 4 ecc,Planet 4 inclination,Planet 4 Omega,Planet 4 omega,N pairs:1-2,N pairs:2-3,N pairs:3-4,1 Planets,2 Planets,3 Planets,4 Planets
0.0,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.10247965054054914,0.1525409908434668,0.014408936140092895,2.8557449624718534,1.9294188408932627,2.6664385626739214e-05,0.015546745587657467,0.17111769387237136,0.10264698538568295,0.03019848416629914,1.1927415703799058,5.621319616631465,5.07063739406485e-06,0.009588562296346654,0.3402522351979035,0.12008152607075666,0.08383895922698131,2.513513998780634,3.9373893824868027,1.6173719440739668e-05,0.014294867897924524,0.5996801142715781,0.057009798573653056,0.03921182038034209,-0.2043217075014804,0.24635612490741998,0.02083854092573827,0.0025000964759458117,0.00047038262301292747,0.027505115495593972,0.023907406409133254,0.003122651831269981,0.0004454649454830317
100.01000100010002,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.1024787011066647,0.16852032158961786,0.02244075578420259,2.4853938883615125,2.5800695202814516,2.6664385626739214e-05,0.015546745587657467,0.171119518278088,0.08895467614519735,0.026018422723586978,1.0492451271256662,5.9649396490958875,5.07063739406485e-06,0.009588562296346654,0.3402461900739055,0.12059231602126769,0.08485980071551341,2.4584871855402914,4.024827903801425,1.6173719440739668e-05,0.014294867897924524,0.5996823445406972,0.057058319587050384,0.03897969190160346,-0.21823079909854023,0.26091820282614187,0.021645142338810645,0.0023980179921799256,0.00046909004891659833,0.026927812919513995,0.023442703689789946,0.0036461109778660383,0.00046909004891659833
200.02000200020004,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.10248322642194517,0.1816841284259478,0.03094622489103636,2.231224112963847,3.090066835736881,2.6664385626739214e-05,0.015546745587657467,0.17111316358514467,0.07378181077636772,0.02122133128547492,0.8934721404785685,0.03704041279318293,5.07063739406485e-06,0.009588562296346654,0.340243372149692,0.12115115102492771,0.08583195904211197,2.4029897924376464,4.113869437387087,1.6173719440739668e-05,0.014294867897924524,0.5996861438891494,0.05712454284705003,0.03874509908849681,-0.23209230055491228,0.27578327356649623,0.02128884154411095,0.0023152202445534077,0.0004681786278474265,0.02700635599343214,0.022730757510046967,0.004142709395645229,0.0004681786278474265
300.03000300030004,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.10247657501768102,0.1924501824866885,0.03725524616355619,2.039210496801732,3.532314849340829,2.6664385626739214e-05,0.015546745587657467,0.17112296955838374,0.057210860671543705,0.016563879184655402,0.7723785606983824,0.3664209005409411,5.07063739406485e-06,0.009588562296346654,0.34025396166537175,0.12156592612016606,0.0867172887149434,2.347270092498287,4.206094271889348,1.6173719440739668e-05,0.014294867897924524,0.5996803844514194,0.057218004840857296,0.038505859847099,-0.24595500729019557,0.29096182290916683,0.020472924657949896,0.002273202211924395,0.00046775272203758433,0.027306293031993358,0.02243069756037262,0.004285383401501837,0.00046775272203758433
400.0400040004001,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.10248727442687236,0.20038227763582855,0.03971583063725073,1.841735317986699,3.9671257963493622,2.6664385626739214e-05,0.015546745587657467,0.17110644381370246,0.03989499980326482,0.011948393563474926,0.7967392689150508,0.5710260957776745,5.07063739406485e-06,0.009588562296346654,0.34025568761817865,0.1220025643821835,0.08748650435958127,2.291705675928929,4.301284145459512,1.6173719440739668e-05,0.014294867897924524,0.5996807186523012,0.057292031793580514,0.03825846274491235,-0.2598112655994036,0.3062413306328766,0.020687543585474002,0.0022936956980561416,0.0004679486769231245,0.027855929638617126,0.022343778295107045,0.004191898918762838,0.0004679486769231245
500.0500050005001,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.10247377241145487,0.20604449378865872,0.03953151200127275,1.5938089933618635,4.448892601217351,2.6664385626739214e-05,0.015546745587657467,0.1711268779233938,0.022163129931588706,0.00807828089995953,1.1863529633732126,0.4922218452517608,5.07063739406485e-06,0.009588562296346654,0.34024472839404934,0.12233467580242861,0.08813619155149825,2.2364752651724285,4.396914621870385,1.6173719440739668e-05,0.014294867897924524,0.5996870699426494,0.05737250486814446,0.03800301904646209,-0.27384949654603774,0.32213373982947413,0.021576158893982404,0.0023754651793746885,0.0004687479276209716,0.02733247648885992,0.02322870390430405,0.0038019726702165956,0.0004687479276209716
600.0600060006001,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.1024930878383952,0.20765619660809273,0.03909314585905997,1.3108015984291101,4.958153932362466,2.6664385626739214e-05,0.015546745587657467,0.1710952015894838,0.0067595075339623775,0.008516264577741786,1.9242909358987423,0.766807801433945,5.07063739406485e-06,0.009588562296346654,0.3402533366792842,0.1222607141845933,0.0886745786147763,2.181551546967618,4.493588661666449,1.6173719440739668e-05,0.014294867897924524,0.5996801956177078,0.05746657846088069,0.037737797965671296,-0.2882172993835238,0.3387315723471893,0.021523800389818798,0.0024969412219388986,0.00047004588229360156,0.02696507124388103,0.024071848890061708,0.0033656116644219265,0.00047004588229360156
700.0700070007001,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.1024765145001818,0.2067173068040815,0.0386314550701886,1.0513267856522293,5.447540115624011,2.6664385626739214e-05,0.015546745587657467,0.1711239578908445,0.01676619947543093,0.012682933065367817,2.257675754682424,2.2705110701215823,5.07063739406485e-06,0.009588562296346654,0.3402590090608942,0.12195411058497466,0.08913712159933941,2.1271466553828606,4.591924963999432,1.6173719440739668e-05,0.014294867897924524,0.5996796031951117,0.05754193636038522,0.03746175097545105,-0.3028601209273247,0.35517970144225686,0.020475195796005975,0.002630096864762115,0.0004717333909521926,0.026799300292342943,0.02508977050117195,0.0027484650408548996,0.0004629032821233947
800.0800080008001,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.10249592308488677,0.20197498616661552,0.03585565354729165,0.8398896763818764,5.889619655400524,2.6664385626739214e-05,0.015546745587657467,0.171087176825848,0.03442904917335213,0.01699706697975306,2.2731465574401857,2.634190699086796,5.07063739406485e-06,0.009588562296346654,0.34025457123535247,0.12137992864782497,0.08960121473964328,2.073748730497951,4.689159876923269,1.6173719440739668e-05,0.014294867897924524,0.5996850858968793,0.05761905140021749,0.03717927684838259,-0.31769148621253124,0.37224788893333294,0.02005718571388672,0.002767311745699374,0.0004734750118255117,0.02734066962982573,0.024611697531098386,0.00289420798351496,0.00044008303281073413
900.0900090009002,0.871,0.905,1.7634467507133664e-05,0.012892567252921473,0.10247649134682361,0.19570866886510882,0.029363108238665545,0.6322044291357772,0.05087916125670322,2.6664385626739214e-05,0.015546745587657467,0.17112616714857543,0.052338457829451845,0.020852295727252463,2.1495879556893964,2.9955183110928942,5.07063739406485e-06,0.009588562296346654,0.34026395659543063,0.12035607273049953,0.09011956100504563,2.021645498033615,4.784065053975183,1.6173719440739668e-05,0.014294867897924524,0.5996807388768568,0.05769653914788244,0.03688751995504464,-0.3326649740680358,0.38950043349171803,0.02080072618926464,0.002918141974129975,0.00047500371232010047,0.02576769922908531,0.024823780257992215,0.0032355800259820902,0.000452895906868922
