Time,Stellar mass,Stellar radius,Planet 1 mass,Planet 1 radius,Planet 1 semi maj,Planet 1 ecc,Planet 1 inclination,Planet 1 Omega,Planet 1 omega,Planet 2 mass,Planet 2 radius,Planet 2 semi maj,Planet 2 ecc,Planet 2 inclination,Planet 2 Omega,Planet 2 omega,Planet 3 mass,Planet 3 radius,Planet 3 semi maj,Planet 3 ecc,Planet 3 inclination,Planet 3 Omega,Planet 3 omega,Planet 4 mass,Planet 4 radius,Planet 4 semi maj,Planet 4 ecc,Planet 4 inclination,Planet 4 Omega,Planet 4 omega,Planet 5 mass,Planet 5 radius,Planet 5 semi maj,Planet 5 ecc,Planet 5 inclination,Planet 5 Omega,Planet 5 omega,Planet 6 mass,Planet 6 radius,Planet 6 semi maj,Planet 6 ecc,Planet 6 inclination,Planet 6 Omega,Planet 6 omega,N pairs:1-2,N pairs:2-3,N pairs:3-4,N pairs:4-5,N pairs:5-6,1 Planets,2 Planets,3 Planets,4 Planets,5 Planets,6 Planets
0.0,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.06202480218557041,0.10904814589916098,1.028131096523847,0.0,1.3985150485608502,5.786987947428814e-06,0.010097162023915963,0.12454798087236728,0.09249221779062074,1.0937926854824438,0.0,2.2933366627498213,3.3228314044267426e-05,0.033066325060191686,0.22233155111756148,0.08141592706740589,1.0692054979634824,0.0,4.0409221879607955,1.3430322119456107e-05,0.015844277385309833,0.35481049949372134,0.07082010100682432,1.0380797280962653,0.0,4.0017139698113136,3.3447124453443834e-05,0.03360054002298959,0.4799350979757211,0.0679922485715311,1.0720107986470577,0.0,0.15381659740785203,6.5970250795997244e-06,0.018494764134711714,0.7644204938664533,0.05966617660234715,1.0460337556301922,0.0,5.350319884613291,0.041176151591612385,0.02414430779653521,0.009950837669106271,0.0036181600267443585,0.0021683869048482185,0.046687675415446384,0.020359525068425716,0.008526427471529726,0.010923711779428667,0.004891440617383051,0.0021683869048482185
100.01000100010002,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.0620248313204276,0.11127475201051971,1.0286760812715707,0.004834357795566232,1.4630773524991287,5.786987947428814e-06,0.010097162023915963,0.12454576228263055,0.09291706482874625,1.0915050330054352,-0.015135662242293513,2.5533879463229763,3.3228314044267426e-05,0.033066325060191686,0.22233631493353082,0.08005451984762418,1.0690365507077548,-0.0014549113476673753,4.210843575855799,1.3430322119456107e-05,0.015844277385309833,0.35527147170171963,0.07120320059573208,1.0398694824579489,0.010287961476276327,4.0527983171379045,3.3447124453443834e-05,0.03360054002298959,0.479573912500328,0.06571605055116324,1.0715592542132684,-0.002735112247140235,0.20273443009135494,6.5970250795997244e-06,0.018494764134711714,0.7645461463122516,0.06104762679802202,1.0460757415676836,0.0008243994790014722,5.3653484992433915,0.04126615356999516,0.024045938573144594,0.010005705791673772,0.0036555676252725314,0.002198973556009182,0.04641177169040131,0.020789844141698936,0.00822736349510884,0.010994995808236908,0.005029754641427642,0.002062466654134343
200.02000200020004,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.06202477712703652,0.1135985575125855,1.0300633784503437,0.009456289693550673,1.5312058806362057,5.786987947428814e-06,0.010097162023915963,0.12455138489660855,0.09245540373740023,1.0849982629412578,-0.02870873211371162,2.819757554361633,3.3228314044267426e-05,0.033066325060191686,0.22236999943548416,0.0778001933780178,1.0686943012441117,-0.002848326598141606,4.319129383451882,1.3430322119456107e-05,0.015844277385309833,0.35490849202986874,0.07976049910293098,1.0451876339326442,0.019827629254120665,4.277124554149724,3.3447124453443834e-05,0.03360054002298959,0.4797083394529888,0.06300900024483887,1.070125772856343,-0.005364927908083726,0.338673283429177,6.5970250795997244e-06,0.018494764134711714,0.7646178437005605,0.06304714630910095,1.046179567359148,0.001660713730300831,5.389421276904953,0.04145200326265004,0.023518664816968293,0.010083741732176701,0.0037246000950513143,0.002295168114989559,0.04552338586634616,0.021800474275576097,0.007876030388489729,0.010668536659270303,0.006213054206165987,0.0012907604893319657
300.03000300030004,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.06202460620821969,0.1159551256347937,1.0321695738072005,0.013568443970178177,1.6037428880126177,5.786987947428814e-06,0.010097162023915963,0.12455223864104173,0.0913105216368497,1.0748388174264125,-0.03936230915717272,3.086778299356258,3.3228314044267426e-05,0.033066325060191686,0.22237638221508582,0.07662610348870438,1.0681745372863498,-0.004130673267080775,4.451160297298605,1.3430322119456107e-05,0.015844277385309833,0.35473221802537797,0.08714162808711126,1.0527857189837058,0.02756311739021191,4.503357541430771,3.3447124453443834e-05,0.03360054002298959,0.4797974307127806,0.058978957875234495,1.068138799330473,-0.007606221058424379,0.4990038631308531,6.5970250795997244e-06,0.018494764134711714,0.7646108641506171,0.06490327494827441,1.046362366494088,0.0024477580811656055,5.400670874391366,0.04173225586215437,0.02267170771424272,0.009809740566604809,0.0035842778571548643,0.002435996014087337,0.04379716288963782,0.023493310541973907,0.007945668143824528,0.010182792752005286,0.007337414906743512,0.00037552522926898035
400.0400040004001,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.06202449981841399,0.11828705568979939,1.034806825787669,0.016894345673197732,1.681253704972427,5.786987947428814e-06,0.010097162023915963,0.12455186246032617,0.088990300763131,1.0620869315818204,-0.04595849599478687,3.359000541511974,3.3228314044267426e-05,0.033066325060191686,0.2223233567151804,0.07866959195071369,1.0674970474140617,-0.005264845213862992,4.600514833175062,1.3430322119456107e-05,0.015844277385309833,0.35477276932078294,0.09032025884901335,1.0614206890121287,0.03147941876981033,4.65934839997087,3.3447124453443834e-05,0.03360054002298959,0.479990183698938,0.05575510187203439,1.0659570282881266,-0.008826494440696104,0.6223607223602299,6.5970250795997244e-06,0.018494764134711714,0.7645339725332672,0.0668612301335507,1.046593725805399,0.00323316159004818,5.427171659409662,0.04208910455870881,0.02157993356728245,0.00949776661066436,0.0034353841574319105,0.0026274821430359403,0.04165993546141861,0.02554685164044282,0.008515985460485851,0.009459208458320678,0.007546825925917919,7.7629746669583e-05
500.0500050005001,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.06202493474101313,0.12054446559548741,1.0377493010517047,0.01921259937857949,1.7635021394077661,5.786987947428814e-06,0.010097162023915963,0.12454985691151822,0.08584544094608042,1.0481676274355896,-0.04758881789909815,3.640945683864395,3.3228314044267426e-05,0.033066325060191686,0.22235950171363086,0.07709363060457997,1.0667259997659557,-0.006142644064725582,4.6951232138205965,1.3430322119456107e-05,0.015844277385309833,0.3551292608051432,0.09035644082258786,1.0702412583615253,0.031043950931945962,4.831312838188462,3.3447124453443834e-05,0.03360054002298959,0.47950998946360746,0.05170626425399064,1.0637545569887719,-0.008901216150105296,0.7111873567143574,6.5970250795997244e-06,0.018494764134711714,0.7650603229736176,0.07014921872574839,1.0468452103338535,0.004000191514360825,5.454883254126325,0.04253376871443856,0.0203212511621641,0.009460091936143496,0.0034269866296001645,0.0029168123603490444,0.039494731936060345,0.027781554543894978,0.008941100387457539,0.008411901300756653,0.007729949991315821,2.7248735746887576e-05
600.0600060006001,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.062024778152187245,0.1226747916350956,1.04076018065306,0.02040526219770087,1.8498817580842157,5.786987947428814e-06,0.010097162023915963,0.12454979052943028,0.08249740135929742,1.0346154555215634,-0.0437008809083776,3.9348462287895636,3.3228314044267426e-05,0.033066325060191686,0.22231448523709987,0.07937372881235527,1.0658920050306036,-0.006827563523068077,4.810366287986659,1.3430322119456107e-05,0.015844277385309833,0.355090737707168,0.09101628988799129,1.07868436709189,0.027342759718781782,4.918755759707762,3.3447124453443834e-05,0.03360054002298959,0.47972358724355163,0.05061869392103237,1.0616436952408161,-0.0081035125634809,0.7921670080894057,6.5970250795997244e-06,0.018494764134711714,0.7653808580213164,0.07301808621369724,1.0471033196078263,0.004710918367907263,5.48851405249249,0.04309042097315751,0.019148570579105323,0.009515887778637256,0.0034425461850281784,0.0033982735885904353,0.0372073365188774,0.029870048190610277,0.009632765726018925,0.007385980319541279,0.007550820548856252,0.00020529900326082817
700.0700070007001,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.062024283105293544,0.12457194850785051,1.0436162255242325,0.020493455726470912,1.9395539816742513,5.786987947428814e-06,0.010097162023915963,0.12455716660031883,0.07945033571274307,1.0228437348438115,-0.034332852061317545,4.24124287186968,3.3228314044267426e-05,0.033066325060191686,0.2223668898765915,0.07725297691796167,1.0650148498301155,-0.007285299735914814,4.937242001364822,1.3430322119456107e-05,0.015844277385309833,0.35451969169161707,0.09500917982270818,1.0857399223064017,0.020707684399403917,5.006460719566196,3.3447124453443834e-05,0.03360054002298959,0.4798956958692142,0.04868910744809807,1.0599196338640795,-0.006542463975634669,0.8881353628071347,6.5970250795997244e-06,0.018494764134711714,0.7656387786928174,0.0764579978363922,1.0473558946389532,0.0053852579878879295,5.541925992654843,0.04350907645546769,0.018130131962604823,0.009666156096622953,0.00348405782051978,0.004020671294680882,0.035434097103930765,0.03150662976322763,0.010280101417787693,0.006655586502461502,0.006954641014386643,0.0006215053871032605
800.0800080008001,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.062024388528395855,0.1261121556672174,1.0461160062749721,0.01965044633005822,2.0317859898992854,5.786987947428814e-06,0.010097162023915963,0.12456152374090768,0.07662157335605775,1.0140502667393998,-0.020310737075423975,4.5540070705110605,3.3228314044267426e-05,0.033066325060191686,0.22231625638583288,0.07958926240628149,1.0641407460538985,-0.007585134925440085,5.0225245656777755,1.3430322119456107e-05,0.015844277385309833,0.355006344858281,0.09450223178881338,1.0909463861480375,0.011877622944796832,5.123084680843364,3.3447124453443834e-05,0.03360054002298959,0.47979995535660414,0.04577077858738966,1.0586568977263262,-0.004413270382371481,0.9691140450450506,6.5970250795997244e-06,0.018494764134711714,0.7655562744195363,0.07880082028777705,1.0476096854386134,0.005998293301781935,5.599924096640813,0.043540694826077225,0.01724800378847575,0.009771016975768381,0.0034704057310153704,0.004635322846728812,0.03455225391127382,0.032586337212788676,0.010840952372790272,0.006208304901874299,0.006142661001707515,0.0011043785389576177
900.0900090009002,0.883,1.187,2.7108180039446322e-05,0.015437279131314242,0.06202476448953873,0.12718604674487455,1.0480860780715628,0.01818265522489078,2.125922789746957,5.786987947428814e-06,0.010097162023915963,0.12455291367950821,0.07397428577521818,1.0091506935964527,-0.003258458185766709,4.8741788381877065,3.3228314044267426e-05,0.033066325060191686,0.22233886605183967,0.07908258457661863,1.0632916122539462,-0.00771466808142984,5.1601399904965835,1.3430322119456107e-05,0.015844277385309833,0.35479195094992577,0.09632456977128595,1.0937903788481549,0.001411385110053478,5.230245315615898,3.3447124453443834e-05,0.03360054002298959,0.47981131145720607,0.04245180371032062,1.058032963533405,-0.0018514400720560547,1.068100271873349,6.5970250795997244e-06,0.018494764134711714,0.7656363921304997,0.08098220595454009,1.0478541804957693,0.006578648703777864,5.647320353060428,0.043754723870852455,0.016359319956767905,0.00986267122335748,0.00341176340139531,0.005158449563762559,0.033260449385138974,0.03392931389707132,0.011251482837723991,0.005847721449392566,0.00547494139765326,0.0014666141203167893
