Time,Stellar mass,Stellar radius,Planet 1 mass,Planet 1 radius,Planet 1 semi maj,Planet 1 ecc,Planet 1 inclination,Planet 1 Omega,Planet 1 omega,Planet 2 mass,Planet 2 radius,Planet 2 semi maj,Planet 2 ecc,Planet 2 inclination,Planet 2 Omega,Planet 2 omega,Planet 3 mass,Planet 3 radius,Planet 3 semi maj,Planet 3 ecc,Planet 3 inclination,Planet 3 Omega,Planet 3 omega,Planet 4 mass,Planet 4 radius,Planet 4 semi maj,Planet 4 ecc,Planet 4 inclination,Planet 4 Omega,Planet 4 omega,Planet 5 mass,Planet 5 radius,Planet 5 semi maj,Planet 5 ecc,Planet 5 inclination,Planet 5 Omega,Planet 5 omega,N pairs:1-2,N pairs:2-3,N pairs:3-4,N pairs:4-5,1 Planets,2 Planets,3 Planets,4 Planets,5 Planets
0.0,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213568261636785,0.09449614107583278,0.0557995387573134,1.8881302056054912,2.3603094827627906,7.095822611097138e-06,0.017166182409001335,0.08170842892072035,0.05825644086703611,0.0038700375577352293,1.9559743855134455,2.862369469803781,1.6664557231019473e-05,0.014869087926287864,0.16078405335953236,0.055867529778553464,0.05053339925050985,-1.2024091592121582,5.084411755819367,6.790112085901348e-05,0.021100872271174135,0.3347514324448997,0.05725320628230013,0.0286527049433872,2.352422610957821,0.2684935574610323,1.5305918073416412e-05,0.01830146030314089,0.6324578828460504,0.031162347498336906,0.004700764708728183,-1.1302885986988627,0.455259851183472,0.04470736545337983,0.015738605542873693,0.002181278338410555,0.0013025536289563377,0.05001751618242365,0.01981755078020882,0.023478439413460506,0.0027336815532482744,0.0009219882598432427
100.01000100010002,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213587822748578,0.09578297100992696,0.05448349296239712,1.747203064201026,2.605218389250794,7.095822611097138e-06,0.017166182409001335,0.08170553579811822,0.03764786840451268,0.026315444621665143,2.947014242073463,1.9347380969762735,1.6664557231019473e-05,0.014869087926287864,0.16084514409566628,0.061824251283763454,0.050650379640310404,-1.48156333293547,5.112327009332437,6.790112085901348e-05,0.021100872271174135,0.3346892425415978,0.05594025310346366,0.02785677804512178,2.2937396947676887,0.30347729080866337,1.5305918073416412e-05,0.01830146030314089,0.6324723297095347,0.03097696853220658,0.0051285625251486,-1.3564173167237001,0.7652874060816384,0.04481685365630731,0.013108841689199846,0.002264702963786863,0.0013319844792349738,0.04721079474832333,0.025227278893991407,0.019885475704113365,0.0038027150452862126,0.0006080536153568739
200.02000200020004,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.042135905506922866,0.0960341385754721,0.05062930462867967,1.632472490947451,2.8338939182263587,7.095822611097138e-06,0.017166182409001335,0.08170630240028864,0.024316853902742904,0.048112072445367214,2.6068306546414988,1.823902667850339,1.6664557231019473e-05,0.014869087926287864,0.16097027530219,0.06311507979665511,0.05211261402618167,-1.7497519137386164,5.212514663867608,6.790112085901348e-05,0.021100872271174135,0.33454851330714497,0.05391268924599754,0.026902360821238067,2.2415328197811335,0.3403369182768641,1.5305918073416412e-05,0.01830146030314089,0.6325029452241187,0.031131501196101335,0.005684081989547661,-1.5460140767804065,1.0347494429372635,0.04526191397399629,0.008962964916492046,0.0023356087022738357,0.001368509342075725,0.04226746138067113,0.033082528555592704,0.016839279285448597,0.0037692433601496742,0.00029985103672192093
300.03000300030004,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213588367874777,0.09485903019595103,0.045533378665654656,1.5661957464376381,3.0158387097978956,7.095822611097138e-06,0.017166182409001335,0.08170401873345054,0.034474903160164126,0.06401625456328293,2.221040977402848,1.686839073701634,1.6664557231019473e-05,0.014869087926287864,0.16086396054608781,0.07535212141879342,0.05637033113196791,-2.0193628071147876,5.431692954230875,6.790112085901348e-05,0.021100872271174135,0.3346654852308168,0.05373486858612161,0.02584627561562143,2.183876102444478,0.3472722469190055,1.5305918073416412e-05,0.01830146030314089,0.6324848030274745,0.031220363877196827,0.0063271202291000014,-1.705288495559486,1.2744192428066796,0.04564082145196098,0.0069630826186479425,0.002346128686136567,0.0014079624307681725,0.03741764687514848,0.03984852624497396,0.014325041335232318,0.003775378387688198,7.896747570168561e-05
400.0400040004001,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213619786633311,0.09230941597986676,0.041310211765455,1.5600214422414387,3.1330955036578363,7.095822611097138e-06,0.017166182409001335,0.0817009121618776,0.054072324458437244,0.07129566595049683,1.833875967289359,2.112591928041841,1.6664557231019473e-05,0.014869087926287864,0.16081683317448872,0.0863706317147434,0.06148402187633933,-2.271799211688664,5.6305137119540785,6.790112085901348e-05,0.021100872271174135,0.33471490331988446,0.052260872925955486,0.024617121509514322,2.131409064597433,0.335323789741504,1.5305918073416412e-05,0.01830146030314089,0.6325033639033093,0.031453595904885695,0.007017537511622412,-1.8388358349493306,1.4863305068527648,0.04582781855777565,0.00603170621584795,0.002340907722508664,0.0014571070009065997,0.032691042863100754,0.04713074884050338,0.010966042136514906,0.00395313755220932,1.1765350745873704e-06
500.0500050005001,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213598265626435,0.08907217053298513,0.039695605486090864,1.5902675140165814,3.203088121092793,7.095822611097138e-06,0.017166182409001335,0.08170202790327045,0.07086839895433988,0.06818023218761435,1.4415244369521258,2.7353410797410778,1.6664557231019473e-05,0.014869087926287864,0.16097249231375077,0.09127989423630518,0.06628893872827883,-2.5107352469084754,5.7970019732762825,6.790112085901348e-05,0.021100872271174135,0.3345468356886989,0.048024244953017416,0.02319214195788912,2.0897402765208777,0.33330421125169174,1.5305918073416412e-05,0.01830146030314089,0.63250618435238,0.03190195520352599,0.007731597831335546,-1.9517810181232942,1.6773433219323728,0.04592384714477804,0.0057464472737969174,0.0023486718023288844,0.0015215682844085725,0.030648725096977573,0.04947602143853822,0.010226046239442413,0.0038581789469026573,0.0
600.0600060006001,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.0421359733423252,0.08593006987387158,0.040606694508909504,1.5962798601188548,3.2825375137395283,7.095822611097138e-06,0.017166182409001335,0.08170477827493006,0.08164899569391175,0.05545741427441552,1.0313678710547076,3.4384990016016035,1.6664557231019473e-05,0.014869087926287864,0.16076879085311585,0.1094647624749051,0.07306865493496133,-2.722660640117564,6.030692309153168,6.790112085901348e-05,0.021100872271174135,0.3347684227212549,0.04618710303142135,0.0218000424609912,2.043002586672994,0.26070623794064485,1.5305918073416412e-05,0.01830146030314089,0.6324781113619756,0.03241324846762934,0.008449737804215637,-2.0486054542810934,1.8440210372048824,0.04599831474818794,0.005840147192828105,0.002276598727859458,0.0015840718335238878,0.03236150236705794,0.04705202327342602,0.011060525163991839,0.004049194060552375,0.0
700.0700070007001,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213587511990104,0.0835923301374975,0.04227965118500184,1.5383341113765114,3.4146429488335994,7.095822611097138e-06,0.017166182409001335,0.08170419721745607,0.08443986904535643,0.035647618336781435,0.5771917885263576,4.210272537052857,1.6664557231019473e-05,0.014869087926287864,0.16096369790294188,0.11644857468110155,0.07826618721291112,-2.9350747534505013,6.176951262452346,6.790112085901348e-05,0.021100872271174135,0.33455575277425786,0.038757332644256626,0.02013593494906822,2.0157154624093936,0.2392475969960728,1.5305918073416412e-05,0.01830146030314089,0.6325001513464128,0.033071395713636965,0.00915880692186027,-2.132557094780751,1.991863143196408,0.046020116881987705,0.006415761496385675,0.0022488111865412996,0.0016762057980190224,0.03637012973835181,0.04071519843191903,0.012655181165196868,0.005018347495319486,0.0
800.0800080008001,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213584108517543,0.08250999059917904,0.042748249961426864,1.4203774028472322,3.6054627343002874,7.095822611097138e-06,0.017166182409001335,0.0817028726312553,0.07843676718697454,0.012596032728010392,-0.13043564065572702,5.2481735945412264,1.6664557231019473e-05,0.014869087926287864,0.16088067205220005,0.1329528700624754,0.08420819711491748,-3.1222127265496282,0.06503055110240918,6.790112085901348e-05,0.021100872271174135,0.33464987157341547,0.03187494564072672,0.018494241802169867,1.9930861838833827,0.1405683220691092,1.5305918073416412e-05,0.01830146030314089,0.6324889975271384,0.03367865702201051,0.009850225539533965,-2.2056997952809807,2.125090095542376,0.04591850442224854,0.0075613555185628355,0.002176028012295883,0.0017756519772024193,0.03998747530688179,0.036088085294394764,0.014443446252754732,0.005096834138858197,0.0
900.0900090009002,0.808,0.803,5.174017902308282e-05,0.018186491441837992,0.04213577849361672,0.08264447114966408,0.040763096861802336,1.2657968251175284,3.842935396411531,7.095822611097138e-06,0.017166182409001335,0.08170438077092408,0.0650781322983281,0.014516746303418782,-2.847418590228022,2.0282341884747233,1.6664557231019473e-05,0.014869087926287864,0.16075835169307928,0.14961750413571492,0.08972347274222922,2.985612021057129,0.1981858036918691,6.790112085901348e-05,0.021100872271174135,0.33478152537030015,0.022080565048499985,0.016766527918618452,1.9881623035110854,0.0036427679350641284,1.5305918073416412e-05,0.01830146030314089,0.6324758307028914,0.03427230806195463,0.010523631581979205,-2.270097823011408,2.239158284620032,0.04503997926358194,0.009963196685193479,0.002101764219379021,0.001901372154369585,0.043919657681810505,0.03136015986449865,0.016333976765718683,0.00506852236032429,0.0
