Time,3 Planets (Aligned Omega),4 Planets (Aligned Omega),5 Planets (Aligned Omega),7 Planets (Aligned Omega),8 Planets (Aligned Omega),3 Planets (Random Omega),4 Planets (Random Omega),5 Planets (Random Omega),7 Planets (Random Omega),8 Planets (Random Omega),
0.0,19.452983366620074,20.227014187709823,nan,12.38071375205093,0.6086484125543752,nan,20.22701418770984,nan,nan,0.6086484125543754,
100.01000100010002,19.45648366418327,20.2275709216158,nan,12.381335261485596,0.6086458520920258,nan,20.227487158455524,nan,nan,0.608652451157282,
200.02000200020004,19.45947312887258,20.229668132708838,nan,12.381362974065228,0.6086465531043801,nan,20.229717602116633,nan,nan,0.6086593213601973,
300.03000300030004,19.460697858768658,20.231116664828825,nan,12.381322017872911,0.6086438525119339,nan,20.231461045441836,nan,nan,0.6086621372098134,
400.0400040004001,19.46287784229583,20.231801949211857,nan,12.381695674089762,0.6086388488211052,nan,20.2315175800109,nan,nan,0.6086654459152593,
500.0500050005001,19.466805868535108,20.232625038966408,nan,12.38191368372679,0.6086429181945451,nan,20.23173329562502,nan,nan,0.60866838214356,
600.0600060006001,19.468978929189134,20.230952319635772,nan,12.3816043755334,0.608644609240325,nan,20.23332227065544,nan,nan,0.6086683653808808,
700.0700070007001,19.46882590539249,20.23067718060725,nan,12.381902213800686,0.6086491056420155,nan,20.23461274582802,nan,nan,0.608673525984311,
800.0800080008001,19.46856893519846,20.231636174148754,nan,12.382380172114265,0.6086551744061878,nan,20.23645882082924,nan,nan,0.6086715434538514,
900.0900090009002,19.471062948552937,20.230440419833265,nan,12.381855060134487,0.6086643704907667,nan,20.23741550153228,nan,nan,0.6086649797137995,
1000.1000100010002,19.471825457935935,20.2295450516147,nan,12.38173930928888,0.6086671930810252,nan,20.237302334011968,nan,nan,0.6086718136392432,
1100.1100110011,19.471131884483285,20.229766525996958,nan,12.38217448885499,0.6086770873535553,nan,20.239030699569177,36.30066950417349,nan,0.6086674949434819,
1200.1200120012002,19.469451297687144,20.22925678624188,nan,12.382052917599268,0.6086821446122537,nan,20.23866225276748,36.30064778933232,12.371380417339301,0.6086685189555945,
1300.1300130013003,19.469731206816267,20.229128795958253,nan,12.381776821643248,0.6086907963835753,nan,nan,36.30150181889708,nan,0.60866316018344,
