System,Planet Pair,Variation,Fractional Variation
sysSim_0_randomO.csv,Planets 1 and 2,0.00897338832683573,2.183916676795468
sysSim_0_randomO.csv,Planets 1 and 3,0.00967739375857517,2.6131941109801886
sysSim_0_randomO.csv,Planets 2 and 3,0.008362905978913388,2.436480947286412
sysSim_0_randomO.csv,Planets 1 and 4,0.009117916397486454,2.3897020593061007
sysSim_0_randomO.csv,Planets 2 and 4,0.008239167158272153,2.300842518518935
sysSim_0_randomO.csv,Planets 3 and 4,0.008093921871209385,2.1809849974544844
sysSim_0_randomO.csv,Planets 1 and 5,0.008275987773987407,2.3174396384348777
sysSim_0_randomO.csv,Planets 2 and 5,0.006851636845146076,2.127881598083902
sysSim_0_randomO.csv,Planets 3 and 5,0.00714846651568246,2.136935566209103
sysSim_0_randomO.csv,Planets 4 and 5,0.007152000538539939,2.1116222007076666
sysSim_0_randomO.csv,Planets 1 and 6,0.008539747964025953,2.3543573492585725
sysSim_0_randomO.csv,Planets 2 and 6,0.007177868483079682,2.2157410299457707
sysSim_0_randomO.csv,Planets 3 and 6,0.007426204897562934,2.1652832271069617
sysSim_0_randomO.csv,Planets 4 and 6,0.0062865802042593255,1.766324774735921
sysSim_0_randomO.csv,Planets 5 and 6,0.0024581302203010545,0.834395348365998
sysSim_0_randomO.csv,Planets 1 and 7,0.010297413701237214,2.256927891091795
sysSim_0_randomO.csv,Planets 2 and 7,0.009365745500499166,2.288649073238047
sysSim_0_randomO.csv,Planets 3 and 7,0.007458198480789488,2.126088031820765
sysSim_0_randomO.csv,Planets 4 and 7,0.008974379357783597,2.4024625733251583
sysSim_0_randomO.csv,Planets 5 and 7,0.007804504167407554,2.13449923344593
sysSim_0_randomO.csv,Planets 6 and 7,0.007501937545202941,1.94149902016603
sysSim_0_randomO.csv,Planets 1 and 8,0.009071504573798302,2.3977261719876157
sysSim_0_randomO.csv,Planets 2 and 8,0.007504488300255958,2.1976822073419426
sysSim_0_randomO.csv,Planets 3 and 8,0.00863920859904592,2.407921898937813
sysSim_0_randomO.csv,Planets 4 and 8,0.00835571804069338,2.3226387079233097
sysSim_0_randomO.csv,Planets 5 and 8,0.006113614069869464,1.8486330785707978
sysSim_0_randomO.csv,Planets 6 and 8,0.005819468054370142,1.7652016397936021
sysSim_0_randomO.csv,Planets 7 and 8,0.00828974737784922,2.194822333648491
sysSim_0_randomO.csv,Planets 1 and 9,0.01349157261313594,2.0054669348652894
sysSim_0_randomO.csv,Planets 2 and 9,0.01144914928869134,1.7163864397002613
sysSim_0_randomO.csv,Planets 3 and 9,0.0128992770143917,1.9236547982042176
sysSim_0_randomO.csv,Planets 4 and 9,0.012557107135073395,1.883335111543763
sysSim_0_randomO.csv,Planets 5 and 9,0.008089791768606493,1.2027120949382204
sysSim_0_randomO.csv,Planets 6 and 9,0.008483781981195534,1.2596365583129083
sysSim_0_randomO.csv,Planets 7 and 9,0.013002887033587486,1.9289550325434561
sysSim_0_randomO.csv,Planets 8 and 9,0.009592351328302629,1.4158914586622215
sysSim_1.csv,Planets 1 and 2,0.0330498285742542,0.03421304999700966
sysSim_1.csv,Planets 1 and 3,0.02373468562049752,0.024558887201440702
sysSim_1.csv,Planets 2 and 3,0.011394611270536759,0.011789426420366
sysSim_1_randomO.csv,Planets 1 and 2,0.0166915175304208,1.4608024788305365
sysSim_1_randomO.csv,Planets 1 and 3,0.013648869605300403,1.9050112045711893
sysSim_1_randomO.csv,Planets 2 and 3,0.007356244506308321,1.243864731972772
sysSim_3_randomO.csv,Planets 1 and 2,0.024443758377710602,1.394934133529721
sysSim_3_randomO.csv,Planets 1 and 3,0.0253853999775968,1.70272871522254
sysSim_3_randomO.csv,Planets 2 and 3,0.02179825660003156,1.7735179261604626
sysSim_4.csv,Planets 1 and 2,0.034616813243351974,0.03002687916429811
sysSim_4.csv,Planets 1 and 3,0.06232543325041173,0.054059893269998674
sysSim_4.csv,Planets 2 and 3,0.03928576615109747,0.03407000509573877
sysSim_4_randomO.csv,Planets 1 and 2,0.02279343892655384,1.1678380814660154
sysSim_4_randomO.csv,Planets 1 and 3,0.030171478422232396,1.5565737892565221
sysSim_4_randomO.csv,Planets 2 and 3,0.019806665569443258,1.6324648308555427
sysSim_5.csv,Planets 1 and 2,0.08047693181680282,0.039233287471218466
sysSim_5.csv,Planets 1 and 3,0.18251919364000457,0.08899843361603554
sysSim_5.csv,Planets 2 and 3,0.12121899720386797,0.059124169581125444
sysSim_5.csv,Planets 1 and 4,0.16047180051394716,0.0782600913836429
sysSim_5.csv,Planets 2 and 4,0.12105757998747158,0.059029172507793035
sysSim_5.csv,Planets 3 and 4,0.01959414077481636,0.009567063179934889
sysSim_5_randomO.csv,Planets 1 and 2,0.12927392226467802,1.824694553918371
sysSim_5_randomO.csv,Planets 1 and 3,0.14728165036529825,2.102348443701012
sysSim_5_randomO.csv,Planets 2 and 3,0.11254332519237567,1.6766830907724748
sysSim_5_randomO.csv,Planets 1 and 4,0.14038429652799597,2.193413473755086
sysSim_5_randomO.csv,Planets 2 and 4,0.11255401888109295,1.6599467560616041
sysSim_5_randomO.csv,Planets 3 and 4,0.03876822450029535,0.7618782373377918
sysSim_6.csv,Planets 1 and 2,0.13900563751517137,0.04856694374564425
sysSim_6.csv,Planets 1 and 3,0.11042634487921088,0.038522445066377524
sysSim_6.csv,Planets 2 and 3,0.15687262706803784,0.05482373909090757
sysSim_6_randomO.csv,Planets 1 and 2,0.08512570687465454,1.953945270042058
sysSim_6_randomO.csv,Planets 1 and 3,0.07173672708306854,1.4280092481686386
sysSim_6_randomO.csv,Planets 2 and 3,0.07131557447498377,1.0539040778674873
sysSim_7.csv,Planets 1 and 2,0.049989257682713006,0.016842418029931902
sysSim_7.csv,Planets 1 and 3,0.04071748756063176,0.013715636505103794
sysSim_7.csv,Planets 2 and 3,0.024048931603458445,0.008101529815957268
sysSim_7_randomO.csv,Planets 1 and 2,0.026912486008585597,1.1202116537489248
sysSim_7_randomO.csv,Planets 1 and 3,0.02494263975897145,1.048242574602689
sysSim_7_randomO.csv,Planets 2 and 3,0.023946444443461418,0.9109580660574821
sysSim_8.csv,Planets 1 and 2,0.11019649500293971,0.04765333077265431
sysSim_8.csv,Planets 1 and 3,0.12010518471595732,0.05198833818570837
sysSim_8.csv,Planets 2 and 3,0.10462707952161798,0.045279551004808904
sysSim_8.csv,Planets 1 and 4,0.14856654213163134,0.06430175548500927
sysSim_8.csv,Planets 2 and 4,0.1219361270926349,0.052776919034809966
sysSim_8.csv,Planets 3 and 4,0.02299520462239535,0.009956067283378984
sysSim_8_randomO.csv,Planets 1 and 2,0.022498173694284328,0.5155281077503308
sysSim_8_randomO.csv,Planets 1 and 3,0.05255323242337622,1.0766986201039956
sysSim_8_randomO.csv,Planets 2 and 3,0.036027920364848295,0.7922728761742583
sysSim_8_randomO.csv,Planets 1 and 4,0.05387946012458056,1.105633127013644
sysSim_8_randomO.csv,Planets 2 and 4,0.03778943528240806,0.8289364558365833
sysSim_8_randomO.csv,Planets 3 and 4,0.0019825862256994953,0.04623845764512931
sysSim_9.csv,Planets 1 and 2,0.07240659913717384,0.04520160417312223
sysSim_9.csv,Planets 1 and 3,0.07149901082731924,0.044645699312795176
sysSim_9.csv,Planets 2 and 3,0.01752668884959596,0.010930445508338172
sysSim_9_randomO.csv,Planets 1 and 2,0.009694745218148514,0.2742799261700792
sysSim_9_randomO.csv,Planets 1 and 3,0.012881560438389207,0.4040861869734249
sysSim_9_randomO.csv,Planets 2 and 3,0.006288082626713489,0.7142442822847864
sysSim_10_randomO.csv,Planets 1 and 2,0.04429800335291133,2.2727846048648614
sysSim_10_randomO.csv,Planets 1 and 3,0.04272666520888928,2.258021224914997
sysSim_10_randomO.csv,Planets 2 and 3,0.042278795155139624,2.236789679458175
