System,Planet Pair,Mean Mutual Inclination,Median Mutual Inclination,Variation,Fractional Variation
sysSim_0_randomO.csv,Planets 1 and 2,0.1583333238526765,0.15998486401652123,-0.0016515401638447225,-0.010323102588468445
sysSim_0_randomO.csv,Planets 1 and 3,0.19483652908175267,0.18877327898554175,0.00606325009621092,0.0321192179782781
sysSim_0_randomO.csv,Planets 2 and 3,0.15651182209791184,0.15146214035535313,0.005049681742558709,0.03333956413603684
sysSim_0_randomO.csv,Planets 1 and 4,0.19164266694810042,0.18401702602732767,0.007625640920772753,0.04143986611130373
sysSim_0_randomO.csv,Planets 2 and 4,0.14887658506208085,0.1449576563066792,0.003918928755401646,0.027034989770464948
sysSim_0_randomO.csv,Planets 3 and 4,0.1771983854040625,0.1856571175405778,-0.008458732136515296,-0.0455610441903286
sysSim_0_randomO.csv,Planets 1 and 5,0.14659007165008048,0.13992155088554237,0.006668520764538111,0.047658996933167545
sysSim_0_randomO.csv,Planets 2 and 5,0.09942477677660788,0.10053149667875419,-0.0011067199021463081,-0.01100868820925648
sysSim_0_randomO.csv,Planets 3 and 5,0.12176336760315917,0.118700615925858,0.003062751677301176,0.025802323378121408
sysSim_0_randomO.csv,Planets 4 and 5,0.1306485991032086,0.1318146271683254,-0.0011660280651167865,-0.00884596869228925
sysSim_0_randomO.csv,Planets 1 and 6,0.14121672692812517,0.13609543818093645,0.005121288747188729,0.03763012791347251
sysSim_0_randomO.csv,Planets 2 and 6,0.10287055256025524,0.10343714949294869,-0.0005665969326934528,-0.005477692835416716
sysSim_0_randomO.csv,Planets 3 and 6,0.11906823779886909,0.116257229648141,0.0028110081507280865,0.02417921155730065
sysSim_0_randomO.csv,Planets 4 and 6,0.13115774675215808,0.12727460196464996,0.0038831447875081193,0.03050997392697915
sysSim_0_randomO.csv,Planets 5 and 6,0.08261334954918219,0.08401646272379146,-0.001403113174609269,-0.016700455233661496
sysSim_0_randomO.csv,Planets 1 and 7,0.1708664491204598,0.16469095138655848,0.006175497733901331,0.03749749261819708
sysSim_0_randomO.csv,Planets 2 and 7,0.1504667201847122,0.1461166627643109,0.004350057420401288,0.029771124922405443
sysSim_0_randomO.csv,Planets 3 and 7,0.22958537066470108,0.2315263510498377,-0.0019409803851366259,-0.008383410252592871
sysSim_0_randomO.csv,Planets 4 and 7,0.2059280506601197,0.21464205056735713,-0.008713999907237424,-0.04059782267362784
sysSim_0_randomO.csv,Planets 5 and 7,0.15210202516450294,0.15971997999304677,-0.007617954828543827,-0.04769569110186131
sysSim_0_randomO.csv,Planets 6 and 7,0.1479955586972007,0.14332466201625382,0.00467089668094689,0.032589622855117455
sysSim_0_randomO.csv,Planets 1 and 8,0.16363075505436442,0.15879690201591934,0.0048338530384450795,0.03044047444930939
sysSim_0_randomO.csv,Planets 2 and 8,0.12625547297774387,0.12393352212764927,0.002321950850094595,0.018735454380962628
sysSim_0_randomO.csv,Planets 3 and 8,0.13697505457024847,0.13232879071734974,0.0046462638528987354,0.03511151146860409
sysSim_0_randomO.csv,Planets 4 and 8,0.14148328671821053,0.1427408965366152,-0.0012576098184046702,-0.008810437995827456
sysSim_0_randomO.csv,Planets 5 and 8,0.10003128958174468,0.10073597426557755,-0.0007046846838328763,-0.006995362768568307
sysSim_0_randomO.csv,Planets 6 and 8,0.10348112869086273,0.1051506922052938,-0.001669563514431066,-0.01587781762930717
sysSim_0_randomO.csv,Planets 7 and 8,0.17245338111032982,0.17096582226667906,0.0014875588436507603,0.008700913574003164
sysSim_0_randomO.csv,Planets 1 and 9,0.3860651474906418,0.38668403998669654,-0.0006188924960547348,-0.0016005121289102782
sysSim_0_randomO.csv,Planets 2 and 9,0.3767910681175629,0.3775078368588025,-0.000716768741239604,-0.0018986857258481064
sysSim_0_randomO.csv,Planets 3 and 9,0.37985879042709264,0.3811443115905446,-0.0012855211634519859,-0.0033727937800971156
sysSim_0_randomO.csv,Planets 4 and 9,0.38029835876105156,0.3835165811590729,-0.003218222398021331,-0.00839135139423475
sysSim_0_randomO.csv,Planets 5 and 9,0.3704194398483195,0.37073958738728596,-0.0003201475389664754,-0.0008635375068053886
sysSim_0_randomO.csv,Planets 6 and 9,0.3708186259404422,0.37176702423579117,-0.0009483982953489845,-0.002551055455492653
sysSim_0_randomO.csv,Planets 7 and 9,0.38496638966684465,0.39130908073695286,-0.006342691070108208,-0.016208903351189834
sysSim_0_randomO.csv,Planets 8 and 9,0.3708001507288431,0.3772078187505646,-0.006407668021721491,-0.016987102873280247
sysSim_1.csv,Planets 1 and 2,0.4193278455724326,0.419495094164918,-0.0001672485924854028,-0.0003986902226314275
sysSim_1.csv,Planets 1 and 3,0.9251670988624663,0.9641272114418762,-0.0389601125794099,-0.040409721992126
sysSim_1.csv,Planets 2 and 3,0.8668496707797665,0.8670138439882163,-0.00016417320844985817,-0.00018935477165470666
sysSim_1_randomO.csv,Planets 1 and 2,0.3324400992442679,0.3326426171073895,-0.00020251786312164288,-0.0006088151448623991
sysSim_1_randomO.csv,Planets 1 and 3,0.9097670074078724,0.9350320986605409,-0.025265091252668515,-0.02702056035173707
sysSim_1_randomO.csv,Planets 2 and 3,0.8702419354738273,0.8704439056329867,-0.00020197015915934813,-0.00023203121746538676
sysSim_3_randomO.csv,Planets 1 and 2,1.1958518854978355,1.1955123465618738,0.00033953893596172513,0.00028401123329105854
sysSim_3_randomO.csv,Planets 1 and 3,1.2349309881659516,1.320767538742331,-0.0858365505763794,-0.06498990023491581
