Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft,Planet 5 h fft,Planet 5 k fft,Planet 5 p fft,Planet 5 q fft
inf,0.1259118350957491,0.16554079816489836,0.13705085735628963,9529.979779259538,0.15936346210691357,0.14952008809098008,0.1339674066442031,9533.889197668976,0.9304689700812228,0.44314653683613925,0.18170860965825414,9534.279630470986,1.2373654958400655,0.4842913754377356,0.05991641025199639,9531.893512654719,3.3291498131449746,0.4662152262885777,0.11788593210512377,9533.286709451142
1000100.0100010001,0.12410389982984922,0.16722529300091238,0.14812475913815587,0.18892428450937687,0.15768923872263196,0.14906936660905737,0.14556477291726166,0.17452955625907587,1.3104037724557245,0.8019639881952865,0.18730106809432864,0.1745774502065783,1.5199531744665358,1.491836023263188,0.07334835175252599,0.05952648078887943,4.857817838214438,2.0604298299302948,0.16347766884684636,0.34996341400942993
500050.00500050007,0.1292087717734743,0.16732246175704601,0.17983498671666684,0.1940877588509993,0.1585381659661971,0.14908733295132953,0.17758586919928152,0.17976969255229006,1.088487287570518,0.36922044842626417,0.20356187887793675,0.17773677342264274,1.9046359937389583,0.2990682106016001,0.10516135448925444,0.06358135453123558,3.3575785546704395,0.7025519858042747,0.2832980034000186,0.3782278023910147
333366.6700003334,0.13194147434296333,0.1669339316131499,0.22609969798523846,0.2014716299664275,0.15714942990362454,0.14891718206030985,0.22436554971375502,0.18711560937270175,1.1047545692031588,0.4840582589089689,0.23722420688754092,0.1856479907755692,1.7342016772297497,0.17819237046614006,0.15260138278804503,0.0711667147035702,3.523400424719713,1.0488595815484612,0.23644581975906132,0.34627395747606593
250025.00250025003,0.13519452373554433,0.16517659028054563,0.2917788402859261,0.2150758863058356,0.15548546074880396,0.1505517892983123,0.2906540691651064,0.20062579431013305,1.1674904036005394,0.5902523970932999,0.27741164687526304,0.1950446412181793,1.75766283968083,0.35354743022782126,0.20712798241452035,0.08219814170431985,3.1906621134808133,0.7688139583272421,0.4566398172707448,0.3924696221093645
200020.0020002,0.13622790815635558,0.16655457916789085,0.37855701408215553,0.2348877808624318,0.1559392956699254,0.1489959857973387,0.37717164167578676,0.22053520778472083,1.2757797310319978,0.7336306176759353,0.3373254162286061,0.21014738379288053,1.8446086330017288,0.5379811999622504,0.2802172136410673,0.09953386458765344,3.6168738318816165,1.3709368442471386,0.6371837989490172,0.4309473058674496
166683.3350001667,0.13924411216887772,0.16658058493334701,0.4975244613823012,0.26494171982698705,0.15594966189401266,0.148987015300854,0.4962946717981886,0.2505720064476951,1.433220739237514,0.9222215892324938,0.42348735172409063,0.23312770310435627,1.986449082490375,0.7531375723279677,0.38084950736944145,0.12579107725419306,3.9465960829443336,1.8113239835260586,0.8678304834150007,0.4857333435406576
142871.4300001429,0.13608054415207407,0.16831692242512444,0.673258294899294,0.3124730997889928,0.1581037531241895,0.14872371269795123,0.6720125261867437,0.2981314125011419,1.6683502658738723,1.1867708711709086,0.5540341172309459,0.2695349448045478,2.2056955210713354,1.0325421866678908,0.5304293766873,0.1673015058877566,4.402431845004011,2.3399071142966954,1.1971453506729526,0.5717280332303105
125012.50125012502,0.13951940564445234,0.16266962777596558,0.9636730451275727,0.3951552551529103,0.15905370605610308,0.14996013547692139,0.9622208424382669,0.38086364312514603,2.0446778356968087,1.5806768970355,0.7730090344830649,0.332312053569622,2.5592817232017726,1.4290202595528256,0.7796675390618654,0.2388290618347816,4.889272265526541,3.2016025012655955,1.7320676484351285,0.7369209411936016
111122.22333344446,0.14106692119427997,0.16481690052100975,1.5466456276198821,0.5644994856794513,0.16361552151609693,0.14856134399955018,1.545022814206326,0.5501457004691096,2.6969617601980325,2.270356967933683,1.2165120023363591,0.4666466105570744,3.1702500627159806,2.097641303861118,1.2842782130624653,0.3915646146157776,5.526868525805723,3.577167294933679,2.7952547367951217,0.9204735029432652
