Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft
292.42690350906435,0.008291757032891742,0.004607711470274572,2.0049543603960457e-05,0.0003863455053389484,0.009251163307867858,0.0027095260196318464,0.00039983716763378625,0.00025195286189020596,0.008605797786375335,0.004217848169066793,0.00037897472107977626,0.0029220552481752427,0.0011618615140637724,0.005736265298108198,0.0075935752647803235,9.447837603846039e-05
292.3414235606548,0.00829040358961101,0.004606952582534701,2.0043564601289062e-05,0.0003862786299328849,0.009249304509060304,0.0027104939310598256,0.00039976639296395735,0.0002518873899291777,0.008653811748685835,0.0042176086377341175,0.00038498107474717043,0.002941896198017522,0.0010398538330618537,0.005705693160987597,0.007573488548186532,7.5712205424782e-05
292.2559935713034,0.008289088885566486,0.0046063645397746485,2.0037436667789897e-05,0.0003862094189732517,0.009247625226621153,0.0027123823189227417,0.0003996425569437993,0.0002517953177819295,0.00863177374965523,0.00425103067307613,0.00040626154677450116,0.0029355538225130417,0.001072875263543766,0.005741767104544844,0.0075062598286481895,0.0001237444487963644
292.1706134972247,0.008287713384400718,0.004605659353761038,2.0023873323022505e-05,0.00038613047167220275,0.009245486896675204,0.0027126607186057543,0.00039948069448274547,0.0002516381475039858,0.008641213094982413,0.004270852449076997,0.0003822088270714639,0.0029503818653030737,0.001013701396432155,0.005781152801591905,0.00757623363178283,5.40987867365735e-05
292.08528329468464,0.008286357025444351,0.004604885527687804,2.0051064859833438e-05,0.0003861049315165649,0.009245511062540639,0.002714358399368057,0.0003997442327945743,0.00025202562761755093,0.008635906501778314,0.004286164104113076,0.00036528368637801117,0.002973241367198478,0.000987998712453889,0.005788212648128978,0.007630493486514587,0.0001038310599208201
292.00000292000004,0.00828504605730367,0.00460424246126888,2.004066985701584e-05,0.00038602747475509916,0.009243554721625231,0.002714987265479975,0.0003995820913467672,0.00025186002439108574,0.008654641540908812,0.004305857584363075,0.0003817818199394772,0.0029583021682163643,0.000900287094467621,0.005821188657473347,0.007577817327098061,6.790209143263969e-05
291.9147723295389,0.008283640845674107,0.00460349971360729,2.0036087155973278e-05,0.0003859601610162786,0.00924300873889017,0.002715749587292452,0.0003995018348372017,0.00025177696439814305,0.008745295430840553,0.0043676053672380335,0.0003835965403136508,0.0029547763458827345,0.0005423643255486803,0.006014705123689422,0.00757066054736783,6.166644807328806e-05
291.8295914797199,0.008282287174583968,0.004602711843042431,2.0028611141756646e-05,0.0003858952544525493,0.009240027651055563,0.0027181199649691746,0.0003993692758425158,0.000251717542728658,0.008226301449197317,0.004131155491760868,0.0003841326606449848,0.0029527590913297893,0.0025032324437935607,0.005168057071596554,0.0075664385031675415,5.803723410562709e-05
291.74446032701286,0.008280972045818137,0.004602033396720814,2.0026373204290955e-05,0.0003858297273725566,0.009233245892607352,0.0027190898733313994,0.00039936581427959297,0.0002517134452606354,0.00866216838153847,0.004295852918767763,0.0003830874968535227,0.0029529969557563133,0.0009868979035287464,0.00566682257123011,0.00756794097428411,5.3290033849607416e-05
291.6593788279382,0.008279565298643038,0.004601275792749785,2.0020887378950765e-05,0.00038575992656582147,0.009252685416154285,0.0027370505857702678,0.00039930945468480796,0.0002514299079851424,0.008983687692170929,0.004462893039772744,0.00037551999456602025,0.002960082345635808,0.00065657678703193,0.006166879605471473,0.007595147508848056,8.052743134814853e-05
291.5743469390671,0.008278220711056338,0.004600489274401731,2.0015519722090736e-05,0.00038569946509027763,0.009227569629587032,0.0026931450084924377,0.00040094573651947767,0.0002530543034924528,0.007755293163999227,0.004165477932292367,0.0004074941853465217,0.002950137938656388,0.0040695645888007455,0.005968966072081919,0.0075106239848695125,9.97327219010184e-05
