Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft
inf,8.236629583196297,11.283821062635983,61.24686112987125,91.28096553700908,6.724613768138585,9.660455020893266,61.09588324081634,91.0183092949184,81.14615477656332,7.05748104228347,58.173148391597074,54.747719453723434
1000100.0100010001,9.01220115824849,11.743233820378583,1.469212338885365,3.627011224667914,7.414840066064957,10.062978150205478,1.4322394963886338,3.4336407106159914,98.09169610025519,42.25035426345252,15.508081093124224,38.376010807265665
500050.00500050007,13.860175366043093,14.492324757742235,5.409054424527969,7.208334008058233,11.704521138731657,12.512635096398693,5.3416893725225005,6.979280951373561,263.1009093120949,218.94488913878885,57.427267891641435,76.3615227856746
333366.6700003334,8.83322822674279,15.19532918881697,13.444501729586623,11.961257894650014,7.3925612755883385,13.061409735158149,13.312952320397573,11.989363610885183,154.77664150588458,190.695132491289,142.78330142451372,127.20562103789075
250025.00250025003,16.235525630742096,20.542443607843,3.7924296700933646,2.5310267526804555,13.781846933885896,17.676011861083506,3.7613121947137524,2.656774874671679,50.229690708293546,80.65299695029937,40.28516469718721,27.06317003352769
200020.0020002,32.990700006123134,36.65409867440002,2.357462585406236,1.260634939174655,28.325252438062723,31.634514776933074,2.3413975656746353,1.3980494495829177,30.076393002638202,56.539196248341035,25.04943034748101,13.574798006082773
166683.3350001667,292.01371708706995,295.2712834645195,1.7715304718052773,0.8084197175542688,252.7289066483683,255.66343350278945,1.7636332717915069,0.9465446455193322,80.20654373618073,98.59932572202818,18.850464983464253,8.796109479815057
142871.4300001429,47.779205568909134,44.83017899471074,1.3901010767338435,0.5084340903635473,41.595169440855564,38.94376131817325,1.3822220306351436,0.6542841159531868,14.068591811601394,28.484986160712353,14.750948761760732,5.557165369582721
125012.50125012502,23.008022702635248,20.31682751109451,1.1731144453421674,0.383395946895301,20.116755575384488,17.709719766655013,1.1683448241920862,0.5281069147475473,9.218363968648402,25.081654606526207,12.456980953447435,4.23759781370313
111122.22333344446,15.47206777646675,12.999722049440173,1.0184592218796964,0.29510128490057175,13.575914367437639,11.367703461912525,1.0145159975540394,0.43905269465919183,7.112798229705807,22.164647995638806,10.816071412728382,3.300220129415505
100010.0010001,11.855343802043032,9.534342422690862,0.9005755178663535,0.23546449934469804,10.42566271433516,8.378783869753601,0.8971344865138238,0.3776651734755768,6.263321474086319,20.14913018244871,9.565349539310475,2.6644372066412725
90918.18272736366,9.643047739561517,7.494426836568577,0.8027850894039801,0.20194335783501685,8.506044944820076,6.59152807939178,0.7974925371382858,0.33859659292436317,4.983165264790531,18.006258507378583,8.52463768355467,2.2985379307348692
83341.66750008335,8.163830934184903,6.196393352114611,0.7401067891704881,0.1582498294802205,7.214707851613105,5.467632340239109,0.7308622553237589,0.2887710593667956,4.233166314186587,16.398138105893757,7.858812836512809,1.8267745589979683
76930.77000007693,7.123320127632992,5.270055415339095,0.6688173767908487,0.1262434348948465,6.3061581688844495,4.664202960200609,0.6783216629089756,0.275587776224578,3.698842869318495,15.079504132022494,7.11510634740232,1.4915408698981865
71435.71500007145,6.333821972602763,4.590013687354969,0.6204659520602156,0.11199994517597403,5.616776785296788,4.073980549864785,0.6204252821288394,0.2540549130759671,3.2725924101878405,13.954592581146748,6.59531590313143,1.3126798064439942
66673.33400006668,5.713833532758097,4.068477381431161,0.5597340349621363,0.10788442544439077,5.073036490368835,3.6219675585925404,0.5551473614678107,0.2955614834893124,2.929453356289997,12.990542092573223,5.941336177030845,1.2716297748575758
62506.25062506251,5.212886150999917,3.6567430653114075,0.5485174179312202,0.1488644853492313,4.638733631111974,3.2626812056662726,1.074347448578808,1.040233824561806,2.650203601831716,12.150002394236278,5.698820848916749,1.00019261307346
58829.41235300001,4.798035880335637,3.3224624560168388,0.5023414845582042,0.06040304779098142,4.279033697675249,2.974198754793205,0.6874477460297213,0.44188255280115385,2.4171925848868816,11.413916388891074,5.359125431799892,0.9362954617841601
55561.11166672223,4.450079632816728,3.0460673574817614,0.47336846336849714,0.056409136991945386,3.964953428417733,2.738937795707908,0.5546616554187556,0.29084230940819916,2.2205750422539112,10.762540404968815,5.047607643714086,0.8378850997413906
52636.84263163158,4.148884634924541,2.8194289086743294,0.4478754037554384,0.050662084351846035,3.7407158347621645,2.4815650319272122,0.5075506930645948,0.2507784512350763,2.0526821501373234,10.182158660767778,4.775738816569752,0.7541176670585569
50005.00050005,3.8853417227362046,2.621498395270992,0.42387801802570335,0.045375602229528654,3.561042837027224,2.3121465873394715,0.48037273853792734,0.2350215941196347,1.9076268418782705,9.661546566034986,4.526233959278057,0.6885897838449706
47623.810000047626,3.6681279097062,2.4481563030119986,0.40342966590645085,0.041063897694523475,3.2773179703155715,2.193453054153866,0.45184975988391113,0.21925165994079204,1.7824967607827524,9.192606486538569,4.304012888651182,0.6314138933697926
45459.09136368183,3.4674454645532116,2.2950161907335787,0.3844325967611767,0.03705109214393352,3.1037951465035545,2.1067834537554946,0.43103964418316926,0.21021476114410453,1.672512343535482,8.766994924368989,4.102507459410559,0.5820008299391772
43482.60913047827,3.288046772039608,2.1666043979371095,0.3671272267827116,0.03351952476496922,2.9662918744050435,1.9664890220700781,0.4131270833052457,0.20322155608395498,1.575071142620271,8.379308517260158,3.9192845190065566,0.5387518645725188
41670.833750041675,3.129293383438108,2.0500987693663673,0.3512864207731741,0.030452351332162363,2.818201910126959,1.8694003410700573,0.3974472666951206,0.19741072784810745,1.4885819682610737,8.025099014185782,3.7518872792177715,0.5008116694103113
40004.00040004001,2.9849812787043146,1.9458735552800217,0.3368933067779672,0.027764382595253687,2.6937786824314824,1.78314347315629,0.38291216303748854,0.193103178496725,1.4111889123471106,7.699116051204286,3.598796227251329,0.4671269016046245
38465.38500003846,2.854046315673435,1.8524956683901166,0.32339539375246656,0.025482675844086145,2.581190491659741,1.702170748307403,0.37083644918337527,0.1883417067025761,1.3413322543592874,7.399191898472138,3.457223623145591,0.4374793320677961
37040.74111114815,2.7346690709365435,1.7678587301412716,0.31092868981217897,0.023528192916414288,2.477710246094521,1.6309286955350313,0.3604305565485241,0.1839280914326226,1.2783152516705856,7.1217536800157655,3.3266600645141358,0.4109534740258745
35717.85750003572,2.6252651435290595,1.6910627045293192,0.29889587982399374,0.02232061407912481,2.3835605134721916,1.5647157309356423,0.3558248992473911,0.17512332882148596,1.2210733287490405,6.864476741772185,3.205735119854916,0.38712507029282517
34486.2072414138,2.524675985516642,1.6207690105431398,0.28995797662122036,0.019075087969622515,2.2962174539333593,1.5059031934263718,0.3282693108962595,0.19040611360910745,1.1688413011626368,6.625235007748354,3.093187179374165,0.3658765206994221
33336.66700003334,2.431699055016873,1.5563625556299263,0.27948838772246454,0.018287028951813732,2.216826067525137,1.4512708423630885,0.3250302756298407,0.1821984233361427,1.1210057456718225,6.4021842460847544,2.988479177104117,0.34646842637109027
32261.29064519355,2.345673887870817,1.4970623366245106,0.2700818970150194,0.017236248125099492,2.1424075110182184,1.4010559000969904,0.31811594626125594,0.17926827021017652,1.0770216016273257,6.193718531742284,2.8906702723792197,0.3289130183058585
31253.125312531254,2.2657508574807026,1.442291124591118,0.26134375612612004,0.016289035280246396,2.0732621435870846,1.3545142307501985,0.3110622305111055,0.1771113618295327,1.0364503846893962,5.998459286631195,2.7990905095752736,0.31293037905232823
30306.06090912122,2.1909640463678794,1.391450782044444,0.2531536122776617,0.015455137611991238,2.0116562312628896,1.3118723057867665,0.3043012098211074,0.17542434731461864,0.9989102123300363,5.815181967287279,2.713168391982975,0.29832988206244165
29414.706176500003,2.1215226011551835,1.343780166305276,0.24546496293283346,0.01475597904229198,1.9492210026803192,1.276597132861773,0.2979528995673605,0.1739471820579417,0.9640718547928999,5.642808955845345,2.632393715191785,0.28495335264982125
28574.286000028576,2.0562520168927523,1.2998768989581384,0.23822112163233825,0.014163592440310726,1.8944587545363694,1.2382644847552178,0.29202409673538043,0.17269259515185834,0.9316490920608541,5.480403444912112,2.5563157936437455,0.2726607985338412
27780.555833361115,1.9950133357458666,1.258608627236589,0.23138263669138895,0.01367314141187006,1.8423802205669204,1.204493015875011,0.28648937678852665,0.17160739526854657,0.9014041320942877,5.327107365958959,2.484533967458324,0.26133291437231615
27029.730000027033,1.9373470400088924,1.2202323434823494,0.22491832891809807,0.013273484850533633,1.795081745031552,1.1699048256752687,0.281307957852952,0.1706547746024257,0.8731184925890649,5.182182725014768,2.4166930854355932,0.25086662702774254
26318.42131581579,1.8833715774125208,1.1836571451430813,0.21879622210716332,0.012953565282570393,1.7463950901090657,1.1425862080552491,0.27647093167224995,0.16983337171157858,0.8466069604447042,5.044957425433655,2.352475865111705,0.24117240544494667
25643.590000025644,1.8315524224712945,1.1498122286609076,0.21298855662553876,0.012701353107002766,1.7055897723198554,1.1142213731053991,0.271947400702156,0.1691068287130728,0.8217080389526027,4.914833844998092,2.291598164252348,0.23217243350530276
25002.500250025,1.7832351870693213,1.117570679732633,0.2074720527415054,0.012511280751695865,1.6647434067680402,1.0872939235958181,0.2677090896912394,0.16848143729879964,0.7982744799200846,4.79127046908389,2.2338051782520947,0.22379808027590514
24392.6831707561,1.737400565303623,1.0870330111502924,0.20222453305763105,0.012373500421896545,1.6253070760556505,1.0636814279545381,0.263744056657639,0.1679335532219638,0.776181499403357,4.6737838175905235,2.1788674732972075,0.21598960647250526
23811.905000023813,1.6938060298295146,1.0582014197792535,0.19722637457490302,0.01228100342324995,1.5890880216110752,1.0407721943370596,0.260027570601968,0.16746481515530776,0.7553151283294899,4.561935029242321,2.1265775914108724,0.20869402399497522
23258.13976746512,1.6524195386552394,1.0309040889307244,0.1924599331299392,0.012226488921211896,1.5545220058734128,1.0189001236220256,0.2565522488129148,0.16706394712539058,0.7355748976886013,4.4553272631929275,2.0767480393162003,0.20186464007918622
22729.545681840915,1.6129686179183473,1.004959521644873,0.18791034131265424,0.012205273798793544,1.5223048351160129,0.9984635758404297,0.2532728581852176,0.16671488390118927,0.7168710902772192,4.35359942266318,2.0292086119860255,0.19546003470887355
22224.44466668889,1.5754624988113928,0.9801939896555777,0.18355738648910458,0.012215668048263583,1.4907515986222506,0.9802201949189452,0.25021937624892515,0.16644830029511828,0.699122321598385,4.256423331422082,1.983804394186932,0.18944324311321933
21741.304565239134,1.5397040490684306,0.9568083306246247,0.17939251657061503,0.012243986936493746,1.4612332951885052,0.9610642982963229,0.2473765491856053,0.16625840691474109,0.6822572115675974,4.1634994473715805,1.9403943160805843,0.1837814689451134
21278.723617042557,1.5054633260897405,0.9344134929648837,0.17541113609739484,0.012290512987837893,1.4337590166885112,0.9438497530677011,0.24463516109108965,0.1660364709707376,0.6662098993309391,4.074554359115166,1.898849453984701,0.17844529840467738
20835.416875020837,1.4728808975968235,0.9131123574607356,0.171582949114542,0.012370298536629442,1.4064955546745075,0.9269227580421773,0.24206938373650744,0.16589249459485714,0.650921526773655,3.989337274872065,1.859051702604294,0.17340842304234877
20410.204285734697,1.4415835124518146,0.8925867813932715,0.16790521987917045,0.01245372318588048,1.3809421902767158,0.9124464053444459,0.23977839211190558,0.16588972663559137,0.6363387691274248,3.9076183237329345,1.8208929234616138,0.16864708582852153
20002.000200020004,1.4116012745508675,0.8731143544033146,0.16438987919712608,0.012538774895763074,1.3570932183934206,0.8970110098712739,0.23747504502141956,0.16576597823688316,0.6224131246936996,3.8291860348469298,1.784273622298035,0.16414000312134813
19609.80411766667,1.3829027621502656,0.8544021389074519,0.16099924237486032,0.012639269574904655,1.333755026704534,0.8831325594668714,0.2354213458439806,0.16582106592567183,0.609100461936986,3.7538454535044354,1.7491022278917792,0.15986791252463026
19232.69250001923,1.3553324239455973,0.8364160468545279,0.15774739619771733,0.012740940361056125,1.3117034799792535,0.8703062131622945,0.2334281506787325,0.16578335679710438,0.5963606733322799,3.6814176557568232,1.7152943445784403,0.15581339418109139
