Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft
inf,1.0402385923338935,1.996048173098383,0.02877136701584402,9970.998078913766,0.8829313221999581,1.5449787182695627,0.07529685605537854,9970.92518723664,1.3511578546224925,3.223856486737703,0.0510587189639266,9971.033317055,1.204089636748069,1.7834771034859784,0.08780087184951874,9971.015878475446
1000100.0100010001,1.0451757838540796,1.9944472886176636,0.02877432280651534,0.0030277840977180575,0.8862264933020622,1.5439560001864479,0.07533672186102147,0.00230191502890874,1.324943432663945,3.290168887171857,0.05114363916551292,0.002462254935583167,1.5053861770339183,2.150608680916424,0.08781183393878411,0.0014392970254372016
500050.00500050007,1.0528815333470696,1.9958822947802326,0.02874956964930963,0.003042607814377314,0.8963086493094464,1.544603410132776,0.07542817054770536,0.0022907244595781603,1.3598858388739004,3.346626193641493,0.05143712488714104,0.002499819768382519,1.5354468937284103,2.2140233599301973,0.08789105507839849,0.0014611428514994032
333366.6700003334,1.0682509522233208,1.9972545407679159,0.028702158027415877,0.0030701982211781965,0.906095358241883,1.546228247207527,0.07562137885581743,0.0022693614119459705,1.4501109142520747,3.4044046973427218,0.051975153273929244,0.002555676247775179,1.5867526101610665,2.2777251383715016,0.08787161817642627,0.0015532870977943464
250025.00250025003,1.0880669429014704,1.9970292063487665,0.028182500707037542,0.0031628378554039703,0.9213519217804423,1.5462044238610995,0.0765422766442496,0.0021907855326000676,1.5712321591957867,3.511980437868439,0.05410294989263918,0.002758331744132095,1.6685681515414927,2.4006446450668073,0.08699047785903312,0.0017370914061896217
200020.0020002,1.1113607339562177,1.991885856301529,0.029395226758183856,0.003073050788168594,0.9410124933115633,1.543244066843768,0.07512627376945051,0.0022821895012884114,1.7415978841163828,3.666047536047357,0.051504602498872676,0.002563831014463178,1.7907390301587578,2.593749629639285,0.0896384020417091,0.0016809433992279283
166683.3350001667,1.1381002485527278,1.9788107773602217,0.02925073277681959,0.0031527610663009092,0.9620121160586563,1.5332064206762432,0.07566458705791314,0.002224588508386575,1.984258621641671,3.89309223496642,0.053000424986634674,0.0027303230779171265,1.9400307790744507,2.847397188616883,0.08966903479872779,0.0018812939967072278
142871.4300001429,1.172574682333567,1.9503510362454008,0.029353493256657807,0.0032259763123542425,0.9887539955675797,1.5109274827775538,0.07603225821605314,0.0021663734622652986,2.3445353339616086,4.182840857961051,0.05423868828458996,0.002889932062886235,2.177979499209808,3.2818886029989134,0.090231454584316,0.002316871939036826
125012.50125012502,1.170943766157181,1.8393749980980008,0.02960494894282003,0.003305524645908843,0.9892251299026196,1.4273787316327293,0.07645926536006482,0.002114113179685043,3.2094248940590853,4.424817664314797,0.05525931535915716,0.003125449221927968,2.1106105354013676,5.200783495060486,0.09098583417980036,0.0019942627585745132
111122.22333344446,1.1941318078851166,1.6535668765710683,0.030080248624021037,0.0034356727037207343,1.0084129610469792,1.2790063875233129,0.0768325869052582,0.0020164242915585036,3.644308468801218,5.795095709405119,0.05817635315185894,0.0032280368285910145,4.0144360123632135,4.119291125695273,0.09366627323366743,0.002765590238939916
