Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft,Planet 5 h fft,Planet 5 k fft,Planet 5 p fft,Planet 5 q fft,Planet 6 h fft,Planet 6 k fft,Planet 6 p fft,Planet 6 q fft,Planet 7 h fft,Planet 7 k fft,Planet 7 p fft,Planet 7 q fft
inf,0.04786033545160157,0.04226064809906302,0.8294628500259371,0.6828999573284,0.050823561420265256,0.046811353895354804,0.8314197463032036,0.6821968255897288,0.030148082212535534,0.03359973406464335,0.8262575612751759,0.7011487905863771,0.045221973427646917,0.03532149533370975,0.8328881056578533,0.6705372972130133,0.060264575047836624,0.06375748653560097,0.8248427390791453,0.6824257502109519,0.3745554948424154,0.005649710065839067,0.8010200930009364,0.8837239402457606,0.30802546172327894,0.7181011966065219,0.671187187640368,0.7434948933933574
1000100.0100010001,0.04787481963769095,0.042260182039305545,0.0014197529382058095,0.0019642743582419368,0.05083955135236176,0.046815229455510955,0.003353607804385401,0.002630361427189249,0.030359752285013347,0.03374712706133485,0.0018091395228117778,0.016465937825778376,0.043556624674283596,0.04400185932129614,0.004797330603953939,0.01423797953405571,0.06619463829799753,0.041611250399993034,0.0033359335733429336,0.002359967561282153,0.3746185312230499,0.015349763389716551,0.02887110981774644,0.19952919459413082,0.38509400283658196,0.7741041150504062,0.16879568904565723,0.07624766276050596
500050.00500050007,0.04791846366194115,0.04225767418693859,0.0022823154855179466,0.0028142658055701803,0.05090103520936398,0.0468031191826161,0.004169512247405344,0.003378482779474961,0.030858630302130617,0.03390400228689595,0.0012718657049299229,0.01624519347235592,0.043305432925163506,0.031126344054629034,0.005553307443185605,0.014584553734434041,0.06845779871007299,0.07630625035689596,0.002717401237300002,0.0031391901235539874,0.37423492413248577,0.029162198131848668,0.03362678768985424,0.20099519860982676,0.657266543647353,1.003192704650165,0.21620414007139246,0.13463816162894243
333366.6700003334,0.04802669940585585,0.042156832743563744,0.0053536785077306975,0.005882391573206925,0.05105742857145497,0.04666632259715721,0.007198654320764239,0.006300002226545869,0.03126859067534599,0.03381261711261343,0.0026262557392335317,0.015831785991104953,0.04659850558959859,0.03234224352532679,0.008483476137976138,0.016282620043767623,0.05590810859678244,0.07427242902005263,0.0020462838320533965,0.005923215319756108,0.3691818074189248,0.048756202088080104,0.04264423358461069,0.20434200624020915,1.5932427917255112,1.8959518662961155,0.39322897162727266,0.3222152247359562
250025.00250025003,0.04726624672518942,0.0444584358536269,0.08151262529166714,0.0809759387147676,0.05004238092076443,0.049952062369666775,0.07947749402863716,0.08051347160014033,0.029728632846624768,0.037792135535865246,0.0834749087503946,0.08803951477030277,0.047210370072265695,0.04796466428849968,0.0760157012011239,0.07524298758395902,0.05636866686984981,0.05462128863621677,0.08229885650119133,0.07739801025302047,0.6149534800935911,0.37977491927523654,0.0655631040354102,0.18990026799824022,11.570154562520386,11.304543934623664,4.699292352678194,4.761424323445772
200020.0020002,0.04797777819264294,0.04285254108356804,0.0060919801764114405,0.005547974886713354,0.05100854279843383,0.047668088722405313,0.00429765326312821,0.005484037118354337,0.030978859407107796,0.034789372638774074,0.009143053723983887,0.019941001435864542,0.049415280781980334,0.04609016714881888,0.002854163841973584,0.01265918350809427,0.05942456427763351,0.03428157363440667,0.010288429066384396,0.005302325124499431,0.4173550364914589,0.11240670966579251,0.045828367157401906,0.2050721800560481,1.4537467290262793,1.2188072902579696,0.2845247957217304,0.33936386980238037
166683.3350001667,0.04812458629987284,0.04286633661840581,0.003594772243114099,0.0030401444902495127,0.05122968484551887,0.04769320993657305,0.001773386936439326,0.003113532836215621,0.030826420576610357,0.034868424300172174,0.006710094452190013,0.018526258150954673,0.044723128730789735,0.03980866010584743,0.0008036303631192366,0.012776758216182803,0.06199976154981765,0.05355422281682688,0.00786653709287731,0.0029617892713451805,0.4172429974105426,0.11755830468822068,0.057248827334186896,0.2105555011545879,0.8194326074799295,0.6097283657041916,0.13828510496334348,0.18711947461526934
142871.4300001429,0.04826868307112949,0.04296936175692896,0.002745262601112039,0.002185191298006168,0.05143807055578527,0.0478498117104888,0.0008941012860479883,0.0023846717905680608,0.03127263372328941,0.03496659483295872,0.005879628526419028,0.018045879831208454,0.04515299884331508,0.043157749954751884,0.0008438000940742,0.012931849233402523,0.06088177727515631,0.043862836396991595,0.007189308275240346,0.0022256661357906928,0.4248337316283763,0.1333396200732782,0.0680075519726714,0.2163835900862795,0.5851540205050126,0.3963221258679911,0.08897519443574337,0.13281732766980847
125012.50125012502,0.04842294176907081,0.043115256487599216,0.002329937660965609,0.0017704786647462375,0.05167065237712959,0.04806427621800482,0.00043672437354380335,0.0020752606525709953,0.031278700980271544,0.03505971846532394,0.005474968307706262,0.017838572579549686,0.046515583220715535,0.03938541816782409,0.0011642594898677602,0.013017210295960497,0.058776954895025005,0.056557545580823244,0.006817929280748115,0.001976950865575572,0.4361722771452342,0.15306859593294445,0.0793770928181737,0.22322097312317898,0.46118174217413577,0.28975766047080237,0.06482252488628995,0.10446432039188348
111122.22333344446,0.04859403470256575,0.043288476829931664,0.0020922712084240134,0.0015414415915747319,0.05192754011454892,0.04832113528068269,0.0001481735041450403,0.00193206440173068,0.03160507241850664,0.03527854966841624,0.00524824418704592,0.01767881443637592,0.049388851770833825,0.0435382683264937,0.0013834241533401616,0.013101530540580508,0.05135723003072876,0.04583439816134287,0.006593184800656498,0.0018346447981178182,0.4507560970636029,0.17581175132256965,0.09178900767847424,0.23137648698946295,0.3835015294299728,0.22672813919050613,0.05076711595116174,0.0868314634863042
100010.0010001,0.04878512747012632,0.04348880532510891,0.0019461559101769637,0.0014129388637098281,0.05221350796075862,0.04861633528559376,0.00010162590560564091,0.0018728964601272655,0.031939737326684085,0.03568345855023107,0.00509314681070449,0.017559690002675005,0.04344115475357285,0.044731156134793316,0.0015077896025264936,0.013162197698216145,0.07151299265693149,0.04396993466230911,0.006381979309455984,0.001747670931579146,0.46881586494492306,0.2016701523484113,0.10558456935271265,0.24115025111505867,0.3297806804977398,0.18544248160075213,0.04172197327745573,0.0747020683591744
90918.18272736366,0.04899246085005854,0.04371555299020656,0.0018553990159197718,0.0013493369023496067,0.05253055208399408,0.04895126107340699,0.0002749138830250031,0.0018645453583203916,0.03218248910039777,0.03565267412314056,0.0049631259684419305,0.0174599895712565,0.04662316172868171,0.03658393198497794,0.0016377986213508397,0.013269754538411876,0.06067072874198513,0.06894515762520312,0.0063433737226181305,0.0016617158167412268,0.4908906762976388,0.231146942318297,0.12115461081831465,0.25290931200487776,0.2901513072796068,0.15644058377518352,0.03550780843462837,0.06579631685556953
83341.66750008335,0.049235495563962284,0.0439571607241344,0.001803355713933775,0.0013343357082182764,0.05287285612815521,0.049321159234152014,0.00044240393113182167,0.0018939387673973945,0.03276943226073707,0.036333688057589346,0.00491389374777922,0.017360900700111478,0.053836520447481225,0.03722154560156137,0.0017858427522305842,0.01335567951327018,0.03841709745488235,0.06679697598516368,0.006252079593474229,0.0016867228998348955,0.5178622935167333,0.26514850890902186,0.13899769089441696,0.26713981472485016,0.25955253293421576,0.13499153277877227,0.031043003689682484,0.058956647226260255
76930.77000007693,0.04947106080755787,0.044257419117027776,0.0017831655670447007,0.001361543080045373,0.05324914195594859,0.04972445650396581,0.0006100788088833554,0.001955426901933565,0.03283692142242617,0.03657031957928,0.004859637680586806,0.017247700183604647,0.04742920772509358,0.04359688952473023,0.0019107208180183174,0.0134285330227227,0.06130924158475247,0.05802817914673283,0.006233314403858217,0.0017209435838883111,0.5509856568575418,0.3049593444843212,0.15979771214642607,0.28450527985681134,0.23512158933347865,0.1184693452298153,0.02774342656760442,0.05352849397573414
