Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft,Planet 5 h fft,Planet 5 k fft,Planet 5 p fft,Planet 5 q fft,Planet 6 h fft,Planet 6 k fft,Planet 6 p fft,Planet 6 q fft,Planet 7 h fft,Planet 7 k fft,Planet 7 p fft,Planet 7 q fft,Planet 8 h fft,Planet 8 k fft,Planet 8 p fft,Planet 8 q fft,Planet 9 h fft,Planet 9 k fft,Planet 9 p fft,Planet 9 q fft
inf,0.5245784184006022,0.24085804546524348,0.9098213965564736,8.947996349979322,0.4444526013604492,0.20047287003751385,0.919877506397925,8.954010152149133,0.04569733526143087,0.02600099025639112,1.0651397278775718,9.039911388767464,0.2000523889876385,0.03695400694776726,0.8288940608685731,8.983806571182354,0.015990966284192748,0.13392629768315314,1.014953544026754,9.098684638130656,0.1408660518580085,0.07294537224376904,0.9266437017637279,9.078874257659994,0.15496055097534478,0.09707339423872728,0.9384977534736196,9.044807241983323,0.1061687468177086,0.06726674492388895,0.8780676195674633,9.029082659229578,0.10111616668817427,0.07824985323426183,0.8844130317274248,8.989195367011888
1000100.0100010001,0.5236151182027825,0.2424050986247623,0.003648246494682531,0.090029893088399,0.44322979146501296,0.20203667542605777,0.012331275120164038,0.08445600772841298,0.040392762082398656,0.030085038283041297,0.16355269944703577,0.010366161244395645,0.19658420535952825,0.03738108320635815,0.07852421100922215,0.05593972320371726,0.01788147635399987,0.13432516860388458,0.10876492877761487,0.06650283190286888,0.14109904881107677,0.07332084921542617,0.020412029833857204,0.04419146375281186,0.1552963815498372,0.09746200773221873,0.03223139004568149,0.010071444846918671,0.10652636409085758,0.06770660926632384,0.028205225965239483,0.005715204245322588,0.10117588308267669,0.07867523993720456,0.021875152381578365,0.04607526251315331
500050.00500050007,0.5271170842342795,0.2458050945369115,0.007875177489858694,0.08891166737688777,0.44663864074063764,0.20502696764714184,0.015069504553088512,0.0831366666965808,0.04463442602246966,0.028248729343095132,0.1683916953931463,0.00458014286762665,0.200015102421907,0.036064887377562874,0.07568252830440764,0.052898858121341714,0.01801496855972983,0.13386935250658424,0.10760705388267786,0.0652295585847789,0.141876848566225,0.07428980999452295,0.020403530590685476,0.044137905129568764,0.15620040980581987,0.09849690020893243,0.03215075198074811,0.010003347876533489,0.10755560102890635,0.06897914694815026,0.028262673157091894,0.005777067243389313,0.1025337360213257,0.08015600186391941,0.0216525979761911,0.04584794698894874
333366.6700003334,0.5290184888557455,0.24823117845819118,0.010956799235898915,0.09085941072572426,0.4479646979859107,0.2067829410048119,0.015296521561981006,0.08509812427448343,0.036585936537390784,0.03744944757503328,0.16027661881766442,0.009710730815523413,0.19334210760287956,0.0454192202424913,0.0787529836879208,0.05523847817572855,0.025629847699581113,0.1401939765936578,0.10903003523747526,0.06636314995156735,0.14355801967605192,0.07643623205212241,0.020450426533373714,0.04417220527987779,0.15797197094746943,0.10054584787617252,0.032317107797097296,0.01014296009616812,0.10944150351876646,0.07128609647940759,0.028184760485264415,0.005718950845323387,0.10381866725778142,0.08145764753868937,0.02220150668734195,0.04625107059624907
250025.00250025003,0.5372354333400545,0.25792559230120654,0.012875453431431124,0.0901178668253932,0.4555902418449286,0.21592548720094945,0.017767286210209732,0.08415140603224469,0.05355013271624415,0.041348706175507226,0.16692869282720646,0.009805075077479308,0.20354259228100954,0.04480225518275311,0.07641171434912258,0.052857045793286525,0.024335471183744215,0.1385862745919731,0.10812691293832168,0.06549972639783422,0.14555426856974535,0.07878750692462291,0.02052770877739245,0.04421707744917896,0.16007285544403493,0.10303829104627608,0.032197591782538275,0.010039372395637937,0.11194520910283536,0.07426090612887959,0.028260661365930556,0.0058014957273481525,0.10744351436286485,0.08518111586401111,0.02193790820601527,0.045964792540637185
200020.0020002,0.5428536402952507,0.26645437911599384,0.015863969174728834,0.09103156914014436,0.4602052246436589,0.2229805266951118,0.01931948136519022,0.08492850037603085,0.04873634359405724,0.03891149282930144,0.1667675595843926,0.013157831060661585,0.20295838998275056,0.04496399557560232,0.07631996047454036,0.05271297860470133,0.029222196114102823,0.14073393740798623,0.10829488119852418,0.06570125297131227,0.1482262917308385,0.08207555371384928,0.02061395167057238,0.04427567099827444,0.16324845312170316,0.10653423832929307,0.032212100497312685,0.010075674454781601,0.11541222508966749,0.07831258626923285,0.028272354489004795,0.005820750867146002,0.11081101046379517,0.08914698251778555,0.02207707640021798,0.046032246398795364
166683.3350001667,0.551750212584909,0.2783683695862591,0.018241010432968698,0.09331824675458078,0.4678939485186216,0.23366407802620412,0.020937738552262414,0.08745965780068117,0.05253688466277531,0.043697039716000814,0.16483062857375191,0.01209944439998986,0.20589830509609863,0.047821641515828274,0.07592511722524824,0.05447087431282497,0.03395499079159633,0.14332269996350513,0.10848878458563,0.06576430235315452,0.15177617460772577,0.08624749438657732,0.020719744113134993,0.0443799341846021,0.1670972948825829,0.11094578318841736,0.0322300412597557,0.010126849691310717,0.11990600355796062,0.08341004048797392,0.02828652276432691,0.00583007062720494,0.11553764912585555,0.0942406230933984,0.0222376762726863,0.04622509693400844
142871.4300001429,0.5632307114731758,0.29242410439867056,0.023504509872999128,0.09390105271081775,0.47813334839861793,0.24618800145091588,0.02589989630936725,0.0876010765646921,0.0606086465286336,0.0463509492817371,0.16690303697740855,0.01847721469813703,0.2120028756519311,0.05069682529788371,0.0763333769320375,0.052425924417773176,0.038146329595899295,0.14740746154626427,0.10876878543136295,0.06550819847714828,0.1560499951312999,0.09153332100533323,0.020829639430115315,0.04440333876893787,0.17152988694966131,0.11680921292044118,0.032241824892343486,0.010178936311538048,0.12594360588223869,0.08921282927354879,0.02831181690139448,0.005861818814329039,0.12138207317605555,0.10062924179592667,0.02243727989552535,0.046340526633901084
125012.50125012502,0.5757108697902064,0.31034942113772773,0.02726371501391173,0.09733856532581267,0.48886553181906356,0.26230766848126125,0.0279618069286026,0.09082693107190537,0.05596647995228701,0.05268811562547281,0.16849209307186785,0.01799385043976919,0.2128062533705492,0.05927554305592665,0.07635463666386431,0.05467181644691795,0.04700528885173998,0.1499250062648551,0.10874095285455967,0.06653874231332886,0.161742939385717,0.09764500837631185,0.02100276618673838,0.04460646393876165,0.17601857679444982,0.12498594321027558,0.03226906559053545,0.010199783816542247,0.13444006024668098,0.09517827343722053,0.028341192821452185,0.005885497230419401,0.1287306517503041,0.10843603446809928,0.02264346087933657,0.046376227925431286
111122.22333344446,0.5923580098690966,0.32967584844972336,0.03134350470715715,0.09884782687664093,0.5036856115902794,0.2793627334790625,0.031509744995944756,0.09201953147268352,0.06256972286687877,0.06126171062657107,0.16830481630293298,0.020634074627480292,0.22199609557899966,0.06297061080241258,0.07578300842421352,0.05406136767620875,0.05294366660725886,0.15611612662484828,0.10895254308427987,0.06655239972610273,0.16835824173970876,0.10535729044568479,0.021134164638277157,0.044656527340000744,0.1889432013195366,0.12954974089232138,0.0322875958518325,0.01027744838697485,0.13729449621808643,0.1085253366135934,0.02835435228672862,0.0059295956934265455,0.13761506989512134,0.11780326021240708,0.0229048334397591,0.046569693671866315
