Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft,Planet 5 h fft,Planet 5 k fft,Planet 5 p fft,Planet 5 q fft,Planet 6 h fft,Planet 6 k fft,Planet 6 p fft,Planet 6 q fft,Planet 7 h fft,Planet 7 k fft,Planet 7 p fft,Planet 7 q fft,Planet 8 h fft,Planet 8 k fft,Planet 8 p fft,Planet 8 q fft
inf,0.10469430040189337,0.27134716344536214,22.651240227145994,9.458034883626102,0.06264443938434204,0.022268548979791605,22.629835642113452,9.408927919782883,0.027045593810787485,0.06888394531889089,22.596857865031424,9.391265808629576,0.03353555122576052,0.10642242987502169,22.53541985633369,9.40808923581794,0.07769804097303795,0.5148667320678482,22.675545744294375,9.43543344913044,0.8348227307271651,0.41596857049291747,22.743111946606817,9.441339163721063,1.4712906486799537,1.2677787167499273,22.784594556336273,9.614405277196926,3.6056760070828227,2.8145155957490036,23.065358104840087,9.8796031951
1000100.0100010001,0.10448684915169276,0.27124889385037293,0.03563887376434589,0.027839509447362725,0.060622363864423566,0.021406241280276513,0.055732224412670055,0.07515707901669395,0.03715209677240906,0.08273591516807936,0.08848839427350738,0.09313641248808886,0.013805005544130382,0.07784599808504998,0.1461943129462916,0.07318299482542398,0.09741728285117103,0.5225134586208678,0.012000844143173584,0.05037265564742085,0.8686339135466511,0.44380822945394244,0.06183573176639914,0.039949058581043355,1.508011757315728,1.3177424356797163,0.10379466768630383,0.13508283402688975,3.724880298172597,2.945602563117535,0.3945503762587599,0.41034454537170145
500050.00500050007,0.10388472413112503,0.2706983832405797,0.04620076674553916,0.03920168966636483,0.06203510602085476,0.016875882724096722,0.06457450145912537,0.08317080333334505,0.03511366035038263,0.08636056042667459,0.09583263342193617,0.10017398758238626,0.002645874571093619,0.07654436751195054,0.15312066493973656,0.08286105893032625,0.10574003064243376,0.5390729352583857,0.020999232181979934,0.05602401434161283,0.9689981756249619,0.5326699201602406,0.06808627367420013,0.03901220285231666,1.6231192237014043,1.4484945640977849,0.11397769169630567,0.14484107566669965,4.112038980255095,3.3602118042356843,0.43741714764894285,0.4528975316430565
333366.6700003334,0.10257952057925754,0.2697234403911667,0.06532650578324599,0.058675142552722,0.05600632799282196,0.02079148127348206,0.08164323212661488,0.09906110938918211,0.03055472821206021,0.08544190523203939,0.11086540680344723,0.11565494954092059,0.04269120467167419,0.09090806086758632,0.16702820188806194,0.09597372583224444,0.15381365281716933,0.5461447188755374,0.03786427797455358,0.06878440178426472,1.1926404326312552,0.710381844368694,0.07955405348219818,0.039399659184794975,1.795677941634461,1.735182131501328,0.13484828355501846,0.16393897308262054,4.875672488681733,4.206716634003219,0.5233455799159324,0.5376023041438226
250025.00250025003,0.10061076596634223,0.2676126291863975,0.10111484968909792,0.09437911276893965,0.0485905034286979,0.03142773042502157,0.11525786636721504,0.13116904396220336,0.032614136056080135,0.09482367390016846,0.14242066545782692,0.14571308733902752,0.05036501662186396,0.0664557257973768,0.19388003287738229,0.13013332176932593,0.17450704988150212,0.6018859581554495,0.06338306792646871,0.09366031267190084,1.521025726656023,1.171203402423401,0.10362283955343106,0.053994394424429666,2.327146962334559,2.1458894463119274,0.1795810005413064,0.20611617102113197,6.489902251323323,5.821857225368874,0.6949745883170158,0.7071224900034971
200020.0020002,0.09422028324453981,0.2634779266825936,0.17476664629238964,0.1681767132174475,0.04947226144014529,0.04423979677522434,0.18570248382204085,0.20094833596699296,0.031175492797315563,0.10885656354652733,0.20973557106716945,0.2139974863140999,0.020559709612520124,0.09316705699795093,0.25606329103556286,0.19399580545470882,0.33228318394737,0.6882194589050055,0.11286064824436606,0.14587381178342151,2.4064945321488214,2.0914399911765784,0.15565966092167355,0.09577686088621466,3.4602348646745327,3.2788811459945553,0.2685747944887761,0.29507396413708875,10.334941845337585,9.725049575809885,1.0668653211780466,1.0796392621600672
166683.3350001667,0.06955627269044003,0.24295821219899932,0.4455116865300056,0.43837289945305347,0.06919924024398187,0.10896704144726359,0.44605253609582524,0.46158760404535015,0.12506185450305474,0.20637568945627066,0.4634631718789626,0.4695969251588816,0.1324856151227706,0.21845852540399285,0.49744346491468194,0.44682832892529106,0.8755170140327017,1.2027088246435282,0.3180952274335348,0.3272069716616573,6.572200966500571,6.280498632616379,0.35026590833728294,0.2910931659517162,8.891149871373793,8.722760914550538,0.6089311580249951,0.6330054626729765,28.79335084001148,28.234495341745994,2.4517419577549813,2.47247423229891
142871.4300001429,0.17335258713789023,0.3246207078829957,1.6370775670635014,1.6442561796342574,0.19647937493488254,0.1332371510209213,1.561923826631426,1.5487625345773082,0.2270320782164427,0.16446215502858902,1.5131640267342377,1.5097626296391842,0.20828037516501613,0.1586915864850056,1.4388426556899145,1.4853160435064494,0.9896365372678333,0.8657609369303391,1.1717286180191362,1.1502915219665482,7.561630997153584,7.813609700621573,1.2096958294939886,1.2750006213620497,9.496132248949731,9.680301988920114,2.00314496672281,1.9837481290979808,33.878973751992014,34.39215885877944,8.289298936530086,8.278814933011084
125012.50125012502,0.13032286809815002,0.29124857155153466,0.3285572771310698,0.3365264594616243,0.10337417996400425,0.038704632342111384,0.29967948995541704,0.2881937200654693,0.10383023684773399,0.06249749235744896,0.27256279653570575,0.27042327127267546,0.09740016440715288,0.08261362209765344,0.23643312243918804,0.2757948729465606,0.28051303669686245,0.3603946496456545,0.24427428198516982,0.21724871538092785,2.2900810535966456,2.524974715494406,0.22569000211288254,0.2966352427682699,2.6438508877903493,2.8400142076286348,0.363091322176623,0.3485754519363193,10.615989749761562,11.096031575151127,1.544378007161838,1.5370638270777903
111122.22333344446,0.1231053171062854,0.2850511020304697,0.1959683528387655,0.20289679461134805,0.08967163084937885,0.02758821458406818,0.17172801867644483,0.15910253922342996,0.08278323079744278,0.05856907405950592,0.14796016353043767,0.14452032263024714,0.06030817463542363,0.05010616473684779,0.12617851208896397,0.14957705374002164,0.1463002682345622,0.3664545470276251,0.14621363765053907,0.12407873930342883,1.2872922699272333,1.5022730937526283,0.13151671207365542,0.1954276125379828,1.3642598825749839,1.5944413475081363,0.19773448506766325,0.1817885001214083,6.323229287097071,6.738158902339568,0.8597697135506253,0.850208488725053
