Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft,Planet 4 h fft,Planet 4 k fft,Planet 4 p fft,Planet 4 q fft,Planet 5 h fft,Planet 5 k fft,Planet 5 p fft,Planet 5 q fft
inf,1.042718331114294,0.15686094128205744,65.44629171130673,38.20007212700112,0.501314686795618,0.18469818836221155,65.74593471598668,38.37141349260283,1.0338962059142727,0.07125258471273899,65.4597717760422,38.61079292741218,0.12763210055593385,0.0030923675092953623,65.52041931624177,38.401286900859404,0.01868503899120766,0.019777292820886222,65.50213561553488,38.39528993014936
1000100.0100010001,1.0432265092553925,0.1572725075377318,0.06584071835143661,0.20703597380975355,0.5015810568589818,0.18428509441607357,0.2992547687045841,0.002624576771841328,1.0336757153089915,0.07148674666180095,0.05466244097847624,0.2021799144508898,0.1279837159222161,0.006090560577738883,0.0008045590812392207,0.011247795519119943,0.018282873023565054,0.020208792006482307,0.006526213670873205,0.002247542454259105
500050.00500050007,1.0435680453023726,0.15862085786213567,0.06597850764521936,0.20716987013353028,0.501181637655032,0.18421270088172226,0.2993012331716686,0.003040916626145055,1.0332371536610434,0.07252083312332745,0.05468875840550145,0.20226201384888648,0.12921653055436397,0.011481079305510254,0.0008181014048715852,0.011258881857152766,0.017295581089314283,0.021356029406742062,0.006589756951807049,0.002212062866743492
333366.6700003334,1.0434768984320597,0.15931426182822658,0.06646747242858149,0.20751791054947688,0.5003507926086261,0.18496178944320424,0.30123039411438346,0.0037224733835117263,1.0323329380837114,0.07322475969985119,0.05453647543969416,0.20206936696453628,0.1311112712922245,0.017689090133462423,0.0008722124858070934,0.011248626192458843,0.02309339015171671,0.031646125982776024,0.006503929954221841,0.002228565381682266
250025.00250025003,1.045672112481371,0.1613497447834845,0.06497440801815163,0.206495607329826,0.5005113168147391,0.18612708685865512,0.29355369840040757,0.005155950478273222,1.0309883623900955,0.07470225721453587,0.0538954150535279,0.2033521117841783,0.1346485638147182,0.024344544599949655,0.0008867904709312129,0.01130507831966591,0.012900283014586079,0.02633344004608938,0.0065737299326366514,0.0023034427507084513
200020.0020002,1.049287494119831,0.16461840463126617,0.06621187330076533,0.20718528221878088,0.49798591048018076,0.18640548992983474,0.29747833341194435,0.004616981776696778,1.0291801062991073,0.07636674709125937,0.05458538658866791,0.20286046840533975,0.1377262940349303,0.03040152267903084,0.0008775978140301394,0.011268832975080674,0.009216684301563617,0.030357430683380152,0.006408739306535422,0.0023874621170369907
166683.3350001667,1.0587122355508967,0.16775051806808355,0.06642070240388406,0.20712662005493476,0.4930250420771479,0.18731068836129375,0.2976228018548247,0.005355212825410116,1.0266611573589668,0.07926137942384619,0.05478871518507325,0.20283039714144763,0.14298956044447325,0.03867863973820458,0.0009229675920480092,0.011294038364072658,0.00431457058261925,0.03501763852705553,0.0065086457573655335,0.002302842526928436
142871.4300001429,1.049513422116807,0.17844727833338547,0.06734522439357239,0.20750348078647166,0.4958975732492889,0.1836490268403673,0.2981552084440871,0.0055289573163184854,1.0242517624343452,0.07855328302175212,0.05502823522593296,0.2028296051459417,0.15604733610871077,0.05410353047481306,0.0009696346299709795,0.011254847072368597,0.008854434515426522,0.04800844808983577,0.00657009944473245,0.0024627268685657264
125012.50125012502,1.0554679475164708,0.17964576452424902,0.0681206293392371,0.20769556318175775,0.49028738382700465,0.18598347930154985,0.2979811239599552,0.0066506667365103765,1.020393285107286,0.08112027729637643,0.054499513524344755,0.20274912655863014,0.16629392074753666,0.0668129827118902,0.0010437938779440659,0.011252606465323948,0.0176203448350929,0.05812604526896452,0.006522148388650721,0.0024258364988291956
111122.22333344446,1.0599395349320169,0.1811129456790358,0.07089448593304833,0.21092975598143301,0.4948249543116139,0.19529967030708806,0.29916854797805714,0.006925918371284447,1.0040283267548402,0.07485932743287173,0.054400632249946734,0.20413090316850618,0.1887847876543402,0.09150549721581082,0.0009822110850575482,0.01120963759976006,0.03600377706348543,0.07703108569814578,0.006652085647513291,0.00256508122915372
