Period,Planet 1 h fft,Planet 1 k fft,Planet 1 p fft,Planet 1 q fft,Planet 2 h fft,Planet 2 k fft,Planet 2 p fft,Planet 2 q fft,Planet 3 h fft,Planet 3 k fft,Planet 3 p fft,Planet 3 q fft
inf,13.580097324472082,2.488399158980744,0.731063669430875,9986.411446061535,6.481790725077595,2.202736116442917,0.5509456670441355,9988.069358749119,6.843871354077702,3.4148608399825573,0.4166108327926608,9989.42116362742
1000100.0100010001,13.622854882029335,2.6295266941550346,0.7321926289195992,0.04708521929575237,6.504671040446039,2.2450029379013334,0.5515139215540615,0.01636262119126053,6.868725474811099,3.453656274642869,0.41738046110011195,0.03274390274861032
500050.00500050007,13.756643599116632,3.051624000627176,0.7356303129125419,0.05052696713268714,6.572189204370833,2.374433720377381,0.5528806628564965,0.029062388451832774,6.943514804301135,3.579021678656127,0.41980701574746726,0.03215790307274634
333366.6700003334,14.178662391073962,4.210353505517228,0.7414828898073147,0.04830793418783924,6.753587257390797,2.656774318400748,0.5550503857345719,0.021513653172592444,7.12525868629186,3.947261970857049,0.42397677580884,0.03274803052265892
250025.00250025003,14.055686236085073,3.9355958766856256,0.7498019081432767,0.0479301166563979,6.813783116864607,2.801056763725205,0.5579560877958855,0.022017262128829457,7.167880652072385,3.953902075680144,0.4299902778386924,0.033092311420143634
200020.0020002,14.327036983496049,5.39934450649192,0.7604874437419378,0.0476494064119732,6.977438867694426,3.369568143849921,0.5618311184951258,0.029947535365301974,7.280648415850136,4.8041258190855896,0.43760959574952324,0.03352615797981535
166683.3350001667,15.402319736714766,4.9992420298751,0.7736391697642913,0.047581263733721235,7.486883995043218,3.233752572937652,0.566706973439428,0.06748461640301794,8.08743878784691,3.849538193399919,0.44695816241276143,0.03467667213758283
142871.4300001429,15.893766941031055,6.391686377915665,0.7893405468777189,0.07360072455422219,7.801064634919673,3.8837870307561095,0.5726308807069103,0.1282076944968898,8.344831857466252,4.700714838920952,0.4580562195001279,0.03274351717022802
125012.50125012502,16.706647102888816,7.684288440201799,0.807822323383956,0.047757895030960375,8.269657818629186,4.5170917566624516,0.5797239141155988,0.011261336704692268,8.843984049500943,5.366610751662052,0.471071116092442,0.03585906544150084
111122.22333344446,17.773649858854814,9.154272105927717,0.8276573422800423,0.06246391332887714,8.877488974026434,5.266798861700997,0.5861683707415671,0.06814916516188191,9.508855886253507,6.131309489115262,0.48513251459126006,0.032427385995723854
100010.0010001,19.164408760975686,10.909521373472957,0.8521298984521677,0.058142140011807494,9.655585152902663,6.1752249314311305,0.596065334999244,0.0460628174976405,10.381606200262917,7.067550900445676,0.5021640765276651,0.03401347537187368
90918.18272736366,20.96088596511771,13.0701433746464,0.87906247335694,0.05761027489770714,10.606236859358527,7.422060046430959,0.6064552279142956,0.03985318993155353,11.502041395758669,8.268033801455058,0.5209067922295285,0.034932807542221715
83341.66750008335,23.37234036518609,15.916129025928578,0.9091168423175157,0.058084234510536396,10.182138806518745,10.74419883532165,0.6180390874787026,0.03749326170607321,12.901550598717034,9.96017318528062,0.5417530122029836,0.03573930571553549
76930.77000007693,26.851987123380244,19.62918138521018,0.9425322751385429,0.05927250578975859,14.42176688077321,10.664927712079928,0.6311978250053659,0.037151445125697076,15.238907049702455,12.016562859972685,0.56476850542176,0.036545885648111676
71435.71500007145,31.92836792221548,25.06691868901545,0.9794648072460022,0.059524228673058815,17.25630822956056,13.77529347214486,0.646151237385162,0.034931436867421874,18.43600262825837,15.242967267357416,0.590029439475179,0.0375024198291291
66673.33400006668,40.15047751645917,33.671765228555884,1.0193319942952783,0.059446436729589096,22.025669957909482,18.628659474154198,0.6652874165626279,0.03503868787665871,23.628078218119793,20.429286006212717,0.6164692835096177,0.03786755716817452
62506.25062506251,55.58226326478142,49.53748911293963,1.0671920577485865,0.06276142850577505,31.00399661215835,27.648911757778283,0.6765921205454496,0.03511980192229607,33.3722939597818,30.134707866666197,0.650934922562097,0.03975250252669382
58829.41235300001,94.67639708567691,89.1729249833262,1.1168755371419,0.06445258562696628,53.744516367430116,50.375454786305724,0.697699794977636,0.03565097354599004,58.02866875810669,54.69775445536823,0.684361323831889,0.040944071244398264
55561.11166672223,381.11947422268304,376.4045034205785,1.1712713040291396,0.06637447004168943,219.94595767854454,216.46316298913877,0.719178649327533,0.036134476660766655,238.0989664355177,234.56200141440047,0.7210120485620692,0.04228724826491953
52636.84263163158,173.52389304175637,176.67899491132042,1.2312143420211967,0.06857570054643417,101.04833747004182,104.67890529509457,0.7424247112179183,0.0368417262157064,109.50619975435839,113.56065512617401,0.7613670400607041,0.04379941690481168
50005.00050005,72.28634967101823,68.63108120740567,1.296060880726441,0.07104179573511203,39.54320740845459,45.07462965880525,0.7668754102957446,0.0377095936424145,42.56352401850677,49.32329509710728,0.8047816828211449,0.04547389996020827
47623.810000047626,35.48246141076876,51.98412032256986,1.3639704180440744,0.07370247304888959,27.098654467689816,26.86327982824202,0.7904302657079058,0.03853745151868934,30.220872459492373,28.593750099519674,0.8499370972132686,0.04730847424593713
45459.09136368183,26.831603015844014,36.170340442618816,1.4264324661876169,0.07688851261930116,19.19440105703335,20.87882689786289,0.8066652883890046,0.04012868742923823,21.31131363113512,22.537495742097672,0.8907393616392925,0.04921854812642901
43482.60913047827,20.564357079752646,28.32311042305377,1.4313072795406614,0.07889864533694553,15.10976642030332,17.144543643605566,0.7678686701785215,0.040028652766055786,16.848370608564867,18.635909643555667,0.8916288560677904,0.05070322908756667
