Time,Planets 1 and 2 mutual inclination,Planets 1 and 3 mutual inclination,Planets 2 and 3 mutual inclination
0.0,0.28400021352424254,1.557129156347108,1.8411293698702393
100.01000100010002,0.28562751420212684,1.5576647605864886,1.8427523383648934
200.02000200020004,0.2864415708064283,1.556468250426433,1.8406033212450723
300.03000300030004,0.2874178051067162,1.5541932130325433,1.83625063215224
400.0400040004001,0.2890856232388584,1.5511080092894165,1.8304203379343336
500.0500050005001,0.29239639973651405,1.5478469165899043,1.8246806469636898
600.0600060006001,0.297456358644148,1.5446001239255085,1.8194617130237805
700.0700070007001,0.3034977451555702,1.5410890256674232,1.8140050652767847
800.0800080008001,0.31008311345503053,1.536535746539773,1.8066451743306782
900.0900090009002,0.31735188983192053,1.5308709544048806,1.797258043481121
1000.1000100010002,0.32605946667287905,1.524572389120432,1.7870278458715187
1100.1100110011,0.3367448565764244,1.518327211355575,1.7775715626508357
1200.1200120012002,0.3490784506247172,1.5122704038445889,1.769159235945112
1300.1300130013003,0.3623708875663331,1.5060686751590062,1.7609553727686322
1400.1400140014002,0.37657107980031934,1.49926011061677,1.752056470135175
1500.1500150015004,0.39187781147815637,1.4916095218087075,1.7420639520815109
1600.1600160016003,0.40882385755297,1.4833849173926141,1.7317650316242827
1700.1700170017002,0.427490724763644,1.4749927288411941,1.7221466799998404
1800.1800180018004,0.44768764968501046,1.4667683017514994,1.713861910896072
1900.1900190019005,0.4675907842458746,1.4604325514665182,1.7096153584176834
2000.2000200020004,0.4885395172630556,1.4529593779193917,1.704143507487872
2100.2100210021003,0.5100655337657203,1.445085763455284,1.698612419877247
2200.2200220022,0.5327254357268467,1.43674547436104,1.6933302634765994
2300.2300230023006,0.5568375351983373,1.4283195508182382,1.6892483488322616
2400.2400240024003,0.5821932144545318,1.42012335165272,1.686992867346536
2500.2500250025005,0.6080213240673636,1.4123933836531244,1.6866742576871014
2600.2600260026006,0.6342476670544696,1.4051748426731554,1.6882588726759842
2700.2700270027003,0.6600611989481032,1.3983924763268503,1.6911961142157563
2800.2800280028005,0.6852814761318154,1.3916774911751044,1.6945749666457626
2900.2900290029,0.7102807168563945,1.3847971578587324,1.6981233918777294
3000.3000300030008,0.7355309763880142,1.3777323120011493,1.7022123515490208
3100.3100310031004,0.7607461351488112,1.3706225332513757,1.7069038872210283
3200.3200320032006,0.7878551166368475,1.3640971012154917,1.714816884115914
3300.3300330033003,0.8145027609838623,1.3579806976875872,1.723840688577298
3400.3400340034004,0.8401404398175574,1.3521468522296156,1.7331438423062968
3500.3500350035006,0.8645896628743804,1.3462289241804,1.7419330778972633
3600.3600360036007,0.8882033469861828,1.3400332462234832,1.7500111013620718
3700.370037003701,0.9116264097860771,1.333644860675835,1.7581574826009594
3800.380038003801,0.9353847827088679,1.3271651080259206,1.7670425972721853
3900.3900390039,0.9593030237949779,1.3209846162424197,1.7770529208639059
4000.400040004001,0.9826572212526542,1.315006599705629,1.7874397145728442
4100.410041004101,1.0047502256682246,1.3089836515337752,1.7969897357742464
4200.420042004201,1.0253003101436926,1.3025227621999897,1.8046904589744146
4300.4300430043,1.0449278268068032,1.2955993433215538,1.811170222455807
4400.4400440044,1.064561586125247,1.2881520502874557,1.8170904644805879
4500.450045004501,1.084183407139869,1.2806282907109385,1.823337572451911
4600.460046004601,1.103582930838279,1.2731040036373895,1.8297690275893945
4700.470047004701,1.1222015382591075,1.265361133681373,1.8353650561431927
4800.480048004801,1.139407114643599,1.2570931792902296,1.8389751613487968
4900.4900490049,1.1541261943839056,1.2483262402223405,1.839381152502558
5000.500050005001,1.1695310454786747,1.23857551203122,1.8393211952684647
5100.510051005101,1.1848797910991056,1.2285563467075908,1.8391650578597656
5200.520052005201,1.2000613930972721,1.2184094968215673,1.8389246377938269
5300.5300530053,1.2145807922392695,1.207888411383838,1.8377030301290544
5400.540054005401,1.2281459063872548,1.1966154620280012,1.834532964333586
5500.550055005501,1.2408947999020274,1.184304510002183,1.8291833316711803
5600.560056005601,1.2530871370640502,1.1710887607286946,1.8221537604322158
5700.570057005701,1.2650691912447412,1.1572100340469926,1.8141543879689972
5800.5800580058,1.2771919854588412,1.1430321895714777,1.8062814824806503
5900.590059005901,1.2893718036042623,1.12880894595953,1.7988023216431723
6000.6000600060015,1.300620017894876,1.1160792992394872,1.7926924778857762
6100.6100610061,1.3117286687592704,1.1003696365639497,1.7824405254210482
6200.620062006201,1.3228651445676238,1.0836505513744565,1.771134385579403
6300.630063006301,1.3341976935124589,1.0662169282931515,1.759516855063733
6400.640064006401,1.345969529993659,1.0484370164077674,1.7485085439055978
6500.650065006502,1.3581610449172914,1.0308033669039018,1.7387897010674245
6600.660066006601,1.3701386896573435,1.013532659968197,1.7297806466889445
6700.670067006701,1.382178963820504,0.9959095890682583,1.7208704686552345
6800.680068006801,1.3940057159220793,0.977651133911332,1.7113649508255473
6900.6900690069015,1.4060305812987552,0.9583931326628632,1.701462079770202
7000.700070007001,1.4188324924518876,0.9383741328126993,1.6922597402075992
7100.710071007101,1.4324540831258081,0.9182111629223907,1.6848070824650943
7200.720072007201,1.4465564433003326,0.8985321854160311,1.67942152465502
7300.730073007301,1.4607233196415002,0.8792274471006668,1.6753723715516886
7400.740074007401,1.474654013797318,0.8599479360478582,1.6717472303068242
7500.750075007501,1.4885265797046747,0.840305583646232,1.6683049876021188
7600.760076007601,1.5027998692109417,0.8200012107093606,1.665463543557651
7700.770077007702,1.5179393526365152,0.7991142487478625,1.6641789846214639
7800.7800780078,1.5338797660123253,0.7787106422478741,1.665660117179905
