Time,Planets 1 and 2 mutual inclination,Planets 1 and 3 mutual inclination,Planets 2 and 3 mutual inclination,Planets 1 and 4 mutual inclination,Planets 2 and 4 mutual inclination,Planets 3 and 4 mutual inclination,Planets 1 and 5 mutual inclination,Planets 2 and 5 mutual inclination,Planets 3 and 5 mutual inclination,Planets 4 and 5 mutual inclination
0.0,0.5745925594628327,0.568639087379541,1.143231646842293,1.6589996859617815,1.0844071264986277,2.227638773341122,1.0177899497811405,1.5923825092444035,0.44915086240137075,2.6767896357429812
100.01000100010002,0.5755218687391304,0.5670926863093746,1.1421946982225606,1.6718691381070736,1.1017801995130336,2.2331543733336567,1.018140381479601,1.5914976540747514,0.45293048604491726,2.6747127539530546
200.02000200020004,0.5774167983672615,0.5612483729661938,1.136984669099727,1.7003280927552962,1.1437781979471828,2.2388798005409716,1.0191812217789487,1.587964809506676,0.46513707859345615,2.6590788380832424
300.03000300030004,0.5802045196787559,0.5507053293418044,1.1271131615166854,1.7395207960450656,1.2038058014459292,2.240831176913493,1.0209652789965784,1.5818040503130206,0.48529088374855583,2.6267450230361904
400.0400040004001,0.5838216747439242,0.5361249115389506,1.113152485222236,1.7922016028697991,1.2823670707798016,2.2442814821575965,1.023475346621741,1.5730089503340805,0.5114624596230282,2.582879537937313
500.0500050005001,0.5882409726928122,0.5167951368538979,1.0944098113285854,1.8531862382944926,1.3740987605983979,2.2446519944820302,1.0267437292320856,1.561646909490179,0.5432624049651451,2.5223140702673597
600.0600060006001,0.5934473828161361,0.49423730695035484,1.0722989426700007,1.9280838887953622,1.4810206174071434,2.252486928296595,1.030832451108761,1.5478973297775895,0.5779655755411023,2.45639585928152
700.0700070007001,0.5993966131330613,0.46826918726530004,1.046486796160788,2.0093844957161764,1.594673527363339,2.2625993501663992,1.035832308171378,1.5318654953271453,0.6147976257182884,2.381384784209288
800.0800080008001,0.6060696585094556,0.43956424943817585,1.0175732113297538,2.1000427372237,1.7171025903518768,2.2811353529087985,1.0417513569919563,1.5137167634192503,0.6525843470465756,2.303998231233971
900.0900090009002,0.6134476333736718,0.4087288223862516,0.985747072001212,2.190951862599184,1.8383488327610442,2.301561587701133,1.0486845096667337,1.4936834817234637,0.6900153388875716,2.2215032259773246
1000.1000100010002,0.6214996721132873,0.37651794136248984,0.9512987738162721,2.2790925503483277,1.9556311556872414,2.3225983313481993,1.056591272127663,1.471919109861764,0.7261524901747942,2.1350167228966277
1100.1100110011,0.6301179702335249,0.3436273820033154,0.9140754512006435,2.3599810879687313,2.065556484243568,2.34052929312885,1.0656401550757477,1.448711370542493,0.7605663747096137,2.0430432898332183
1200.1200120012002,0.6393345780667762,0.31186991194331487,0.8747660240029513,2.430866458611036,2.165491068799581,2.3539651438197136,1.0757399426951595,1.4242344402627316,0.7922209468298513,1.9472304046277809
1300.1300130013003,0.6490182237178784,0.2822184202421626,0.8329019472845374,2.493926010867292,2.2599261449875385,2.3656494832691983,1.087004101763649,1.3988238535554942,0.821728852606429,1.8501045795347648
1400.1400140014002,0.6590541410572226,0.2585932029370403,0.7895701888772799,2.5435476794809335,2.3420258120913338,2.371363823391873,1.0993966078147812,1.3726464726671366,0.8474806175394567,1.7536364477876052
1500.1500150015004,0.6693054050891237,0.24308269091166218,0.744484285869195,2.5873559551337677,2.4209971037044538,2.3800490043434173,1.1129919371157653,1.3461176552709342,0.8704936396348119,1.66737456669325
1600.1600160016003,0.6797510549153092,0.23926536765136008,0.6984806712906543,2.621995879102998,2.4930456306844837,2.3892544001765357,1.127720795805305,1.319281550827326,0.8900072824405383,1.5941289445468303
1700.1700170017002,0.6902314673214975,0.24821331662914567,0.6521989304719603,2.650349936844387,2.5600232267062175,2.4028716791466183,1.143565556570035,1.2924837777577687,0.9061891056544573,1.542446261207729
1800.1800180018004,0.7006696579276189,0.2699161137167056,0.6054598117142265,2.664535896413678,2.616113646168772,2.4124776423070915,1.160574244463867,1.2659441979542356,0.9184478031024689,1.5071924978568088
1900.1900190019005,0.7109751126669424,0.3014633011260346,0.5596012387181618,2.667734616391148,2.6623934976016796,2.421317656760318,1.1785464244560655,1.239842496329262,0.9266266628566713,1.4948988975766269
2000.2000200020004,0.7210969690812941,0.3404873674059564,0.5143200750941834,2.6546717668906274,2.695735160688076,2.42426097461066,1.1975832174895293,1.214399899683808,0.9307965788650663,1.5011303467248165
2100.2100210021003,0.7310262383422725,0.3840911129090904,0.47093362193655497,2.6279990878872486,2.7173270241885366,2.4233066876649723,1.2173647849275995,1.1896119511221137,0.9306677805665149,1.5279440486969735
2200.2200220022,0.740726160860904,0.43081656709550425,0.42935994546509076,2.5874870809558983,2.728672585323363,2.419094312457717,1.2379078927414504,1.1657392719621769,0.9265733769475532,1.574775186539071
2300.2300230023006,0.7501952507222857,0.479062067317517,0.39069920139153097,2.534362482428427,2.7301878212538644,2.4123436215426834,1.2589145290227572,1.1427062183670063,0.9183842842847241,1.6398515198565096
2400.2400240024003,0.7594348877842598,0.5276518547382351,0.3553334027991471,2.474246104084504,2.7270286555046446,2.408813869592666,1.2802647330702364,1.1206025423111965,0.9068542399335207,1.7242269662126484
2500.2500250025005,0.7684725638019024,0.5755390281872133,0.32467371410019435,2.4039621215378464,2.715029815722093,2.4035997683371435,1.3018230416845968,1.0994838687057757,0.8919843267605208,1.8187980911474912
2600.2600260026006,0.7773286028960245,0.6229446855656191,0.298967432044352,2.326867382194591,2.6988052004715115,2.401108642835031,1.3232976132188012,1.0792802046420849,0.8737504399351892,1.9250638177317398
