Time,Planets 1 and 2 mutual inclination,Planets 1 and 3 mutual inclination,Planets 2 and 3 mutual inclination,Planets 1 and 4 mutual inclination,Planets 2 and 4 mutual inclination,Planets 3 and 4 mutual inclination,Planets 1 and 5 mutual inclination,Planets 2 and 5 mutual inclination,Planets 3 and 5 mutual inclination,Planets 4 and 5 mutual inclination,Planets 1 and 6 mutual inclination,Planets 2 and 6 mutual inclination,Planets 3 and 6 mutual inclination,Planets 4 and 6 mutual inclination,Planets 5 and 6 mutual inclination,Planets 1 and 7 mutual inclination,Planets 2 and 7 mutual inclination,Planets 3 and 7 mutual inclination,Planets 4 and 7 mutual inclination,Planets 5 and 7 mutual inclination,Planets 6 and 7 mutual inclination
0.0,0.8991813822766453,1.3429128777015482,1.886574269407323,0.4714038975971153,1.3578223239976948,1.1040838063252552,0.6840529036715662,1.4844541885087754,0.7857656369995865,0.3221868638165074,1.0846119061563937,1.891332128560753,0.7065379320031102,0.6561964134895772,0.40995559835853107,0.3387835851637284,1.235498748427926,1.2027780482874098,0.14486351066902983,0.4403104835791388,0.7983305906136821
100.01000100010002,0.8941127060798509,1.3357698904981443,1.8751865645470787,0.48624269299572576,1.3704083169220396,1.109849422941403,0.6785883056176482,1.4795858479383415,0.793326547783378,0.31910771281682665,1.0821361628479862,1.8897462970016847,0.725215365840176,0.6458746024880472,0.4128649196497088,0.33744202935000356,1.2300283943933517,1.2065822795960304,0.1592066652550574,0.4393254449084615,0.7992527047373587
200.02000200020004,0.8890279417039949,1.3282772573754613,1.8635963520075811,0.5012489510888687,1.382665856622039,1.1156136242969426,0.6730003155780243,1.4745318115987702,0.8009132740711079,0.3162543258493587,1.0796842746855595,1.8879783468124198,0.7435309458797814,0.6354232639918502,0.41583683727487997,0.3361928981754315,1.2244109285713056,1.210038675454891,0.174301472055136,0.4380964408863163,0.8001664165262461
300.03000300030004,0.8840329237929547,1.32032995957617,1.8515622019798068,0.5167184981721695,1.3950525565290135,1.1213156652033365,0.6673549617701745,1.469443102783241,0.8085837020209872,0.31350601126526,1.0772969319367791,1.8861474953901214,0.7617488350925268,0.6245831987783431,0.4188382580070826,0.3350680466000636,1.2187808615509028,1.2131061230440499,0.19021035685580076,0.43661719624185985,0.8010683507195117
400.0400040004001,0.879074866408595,1.3120616959131717,1.8392693046756527,0.5324495991107491,1.4073830258251523,1.1271159780846398,0.6615053424409879,1.4640817727166207,0.8163558388670422,0.31100756707958327,1.0749524521145468,1.8841847820981337,0.7797446812430321,0.6135085108862596,0.4220234182006171,0.33403722945894554,1.2130581124460436,1.2158745287877035,0.20663737817562997,0.43483216887965387,0.8019715212278131
500.0500050005001,0.874192787396678,1.3032643984555905,1.8265127606753653,0.5485009890359889,1.4197912099590342,1.1327394090158454,0.6556258060177643,1.4587167810121884,0.8241525829496367,0.30859891668682343,1.0726510844732424,1.8821548780211879,0.7975871521730394,0.6020108229924346,0.42519043060540385,0.33311672109921353,1.2072991965184543,1.2181978308549783,0.223588521863721,0.4328216695571699,0.8028656770000271
600.0600060006001,0.8693941109847547,1.2941274450764173,1.813551336372485,0.5645524560592678,1.4320049667975023,1.138216893733068,0.6497007144003205,1.4532818549113695,0.8319628817004261,0.3063337419844832,1.070397094610697,1.880033353601348,0.8150642555810226,0.5902880655510891,0.42837566418642126,0.33230029914552867,1.201506577081195,1.2201332229439157,0.24069849383808922,0.4305626271220076,0.8037414826673454
700.0700070007001,0.8645905797322128,1.2845659295638243,1.8001715012171398,0.5808003809955504,1.4441852118679315,1.1437258077330075,0.6436673509653301,1.4476490119875913,0.8398722261869552,0.3043268115240748,1.0681828623904752,1.8777718047925096,0.8324414115058267,0.5782365277887078,0.4316491391832024,0.3315836107304857,1.1955865947480973,1.2217362547485364,0.25812545197325193,0.4280506600273949,0.8046233796800637
800.0800080008001,0.8599061833254259,1.2747468989650632,1.7866116620739625,0.5969728744358506,1.4562047656777366,1.149208465556892,0.6376640527599529,1.4420320473067114,0.8478939391678924,0.30251753758626876,1.06601990192555,1.8754375635034437,0.8495140902686895,0.5660009186406825,0.43487322503404885,0.3309713446967759,1.1896753858341695,1.223027413226793,0.2755764119337512,0.42531143182013675,0.8054875375970537
900.0900090009002,0.8552197815450275,1.2643508639602394,1.7724702287806513,0.6132748268743534,1.4681826835997756,1.154545294316057,0.6316531634618847,1.4363121234801928,0.8559136992750318,0.3009265840146373,1.063885533821119,1.8729695666529862,0.8665049554613536,0.5533478103003987,0.43809057986518063,0.33046367696515333,1.1836439023779237,1.2238635976447774,0.2932708843406213,0.4223768196035467,0.8063399831436011
1000.1000100010002,0.8506760238889618,1.2537275427745305,1.758337383603203,0.629435966420706,1.4800144096947256,1.1596864424190356,0.6256463004359076,1.4306023617524033,0.8639958988580067,0.29946747705289306,1.061809961617333,1.8704870771951714,0.8830434869498992,0.5404526964642064,0.44131759302665874,0.3300600714034133,1.1776455727507398,1.2243672610187168,0.31093236809649144,0.41918529019408013,0.8071856818214711
1100.1100110011,0.8460960135735925,1.2426598660608603,1.7437040786932867,0.6455184308081795,1.4916083418212993,1.1648020962666623,0.6197328096019994,1.4248191087872217,0.872154019166857,0.2982912494062592,1.0597672677859373,1.8678164014890688,0.8994594553461287,0.5273042015790811,0.44445807104738755,0.3297561268714053,1.1714909388754804,1.2245029962316547,0.3286204546411723,0.41584283110049935,0.8080260114603459
