Time,Planets 1 and 2 mutual inclination,Planets 1 and 3 mutual inclination,Planets 2 and 3 mutual inclination,Planets 1 and 4 mutual inclination,Planets 2 and 4 mutual inclination,Planets 3 and 4 mutual inclination
0.0,1.7817107015944058,4.594715205260663,3.6264342966357437,3.168312962847977,2.636113077447619,1.5506559600628036
100.01000100010002,1.954554035357891,4.691597528307026,3.413605953672129,3.331277853768244,2.4311960108600332,1.4402968969424506
200.02000200020004,2.086393523517231,4.773477808554224,3.1753662474425517,3.4789195481112496,2.1767873780401343,1.343913347790347
300.03000300030004,2.2038570350252233,4.83279372740983,2.922704462720728,3.6037645978350685,1.894399840571244,1.2567530952990267
400.0400040004001,2.312072028912445,4.866874743171964,2.690550114755268,3.697783187019253,1.6259795873251879,1.1811512990990432
500.0500050005001,2.396619483083235,4.877176393829163,2.515900590407624,3.754764448622856,1.421438251772151,1.124744912565578
600.0600060006001,2.4429629351479214,4.867787581589072,2.4248758526629026,3.7721591937317096,1.3292108233239106,1.09599523981691
700.0700070007001,2.443822289013296,4.844643294108159,2.428606405660173,3.750885603737757,1.372306611639755,1.1020552993390071
800.0800080008001,2.392919776472248,4.812199119957541,2.524966789750995,3.6924025082771514,1.5296913867427109,1.146944916514424
900.0900090009002,2.2818214572461435,4.774155931133686,2.708057745343108,3.598258434940401,1.7606901834060853,1.2317922420819234
1000.1000100010002,2.121774753565061,4.727857579454793,2.958892410416129,3.471605219256718,2.0299554349404727,1.346859796978995
1100.1100110011,1.9383533548818113,4.670505753610188,3.248774772495087,3.3187462181214737,2.3081845721255028,1.4805872057318716
1200.1200120012002,1.7559618529551952,4.602387092919823,3.5390340746801154,3.1509752150803867,2.563537438602389,1.6241020893817213
1300.1300130013003,1.579000784872631,4.524554614632168,3.7885660830410166,2.9808853876332724,2.7621314787676945,1.771079185667562
1400.1400140014002,1.3760270176507527,4.445056109053071,3.986641962720571,2.8201183428108387,2.8854906090941492,1.9252702053312836
1500.1500150015004,1.1419096080264508,4.364020526944586,4.1393152106072115,2.6774990966848455,2.941647677060449,2.0791537047763926
1600.1600160016003,0.85868119379021,4.28843444556293,4.253651555946012,2.560266044664036,2.9262494828667704,2.2406089370388593
1700.1700170017002,0.5672097656638195,4.222135777892743,4.337842544627159,2.474979413237823,2.8566132685729873,2.4024178414018382
1800.1800180018004,0.3187434889824924,4.1713788062568815,4.382488297203688,2.4258763655711966,2.7338377008547603,2.56004066245658
1900.1900190019005,0.2447170056264991,4.142646722816424,4.375891047602585,2.4133146852057115,2.5560314294605404,2.709309984522061
2000.2000200020004,0.4145270840841096,4.1365628930667375,4.307243994310931,2.4316587983194284,2.3199198458529504,2.8459422413284146
2100.2100210021003,0.6743609704395688,4.156658565011485,4.2035159523114025,2.469195045539806,2.0421156153754683,2.976138752790649
2200.2200220022,0.9443810689868476,4.185230450259909,4.051088403124751,2.509022342699125,1.7348009288639075,3.0882172387585514
2300.2300230023006,1.195018854673594,4.215021845605764,3.865315229300156,2.532347054831678,1.423378181018993,3.185419612355352
2400.2400240024003,1.39244322743149,4.2477518274918165,3.6585276737593526,2.5246803069119856,1.1482527302553145,3.271409708909372
2500.2500250025005,1.5379738351906358,4.291738310573311,3.4433602614313936,2.4810396457256405,0.9521275736746099,3.3547234607175054
2600.2600260026006,1.6575789385368311,4.34288524898384,3.203756611520843,2.404861543197362,0.88972824427442,3.4282093679515144
2700.2700270027003,1.7837905189024195,4.395739273471939,2.9523279747041986,2.302080018333987,0.9803769764620994,3.493008760466406
2800.2800280028005,1.9158775045812995,4.439856031718932,2.7172642709384647,2.174942712048247,1.1675484181268199,3.552270804063515
2900.2900290029,2.0234858594268506,4.465694138326522,2.5294909996843935,2.020768744898679,1.3798302572569587,3.6099450099485986
3000.3000300030008,2.079496997106584,4.470469208694907,2.4130304409157546,1.8366998293793382,1.5732857845026884,3.6702914337917387
3100.3100310031004,2.080217161561835,4.458551850035785,2.3783520512428087,1.6245578061506085,1.7292715635771427,3.736180874443996
3200.3200320032006,2.038603245665652,4.4380115667233175,2.4245945940653044,1.3933448207248642,1.8395736721313523,3.8093764569206603
3300.3300330033003,1.968988812997834,4.41158807392294,2.53730422599841,1.1536518630480428,1.9014838369313567,3.887738447338804
3400.3400340034004,1.8810592727144717,4.374088918938415,2.6929446819663614,0.9147770747429251,1.918692193850904,3.964590035520048
3500.3500350035006,1.7641763577970457,4.327936167726005,2.876994737853775,0.6826445745779208,1.875138036471846,4.043328880958479
3600.3600360036007,1.6262648372735813,4.272112228256558,3.076610927355652,0.4638826453342294,1.7836539218277827,4.118001063763256
3700.370037003701,1.474823297761508,4.206807868176506,3.2659330759398753,0.2726371602230525,1.648041559917822,4.183988636558014
3800.380038003801,1.3105698109278046,4.135237928129846,3.4289852743999076,0.16136290329098818,1.471853905068634,4.238066999683723
3900.3900390039,1.1272976253547875,4.060396823630717,3.555660462075938,0.21670869096433112,1.258544840850117,4.27707742229296
4000.400040004001,0.9210343045979179,3.987930243301913,3.6480100497215124,0.3331102326353672,1.0188709172326926,4.301400807173143
4100.410041004101,0.690583723018387,3.9209433206694313,3.7052101079008453,0.4393374041550309,0.775630969232256,4.308656549675191
4200.420042004201,0.4428187685827087,3.866478113592095,3.734887224109372,0.5221971162266428,0.588177009559991,4.300640918813991
4300.4300430043,0.2005667235671253,3.833225365264964,3.744862272938553,0.5798748559430591,0.5639147164996655,4.281426084261072
4400.4400440044,0.11569529055674264,3.820522437286828,3.7277026670062234,0.6160833035155557,0.7291560961081386,4.246921899582047
